Year,Player,High School,College
2019,Annie Hughes,Pisgah,Auburn
2018,Zipporah Broughton,Lee,Rutgers
2017,Bianca Jackson,Brewbaker Tech,South Carolina
2016,Jasmine Walker,Jeff Davis,Florida State
2015,Shaquera Wade,Huntsville,Alabama
2014,Shakayla Thomas,Sylacauga,Florida State
2013,Marqu'es Webb,Hoover,Vanderbilt
2012,Jasmine Jones,Bob Jones,Tennessee
2011,Hayden Hamby,West Morgan,Purdue
2010,Kaneisha Horn,Ramsay,Alabama
2009,Jala Harris,Bob Jones,UAB
2008,Courtney Jones,Midfield,LSU
2007,Katherine Graham,Ramsay,LSU
2006,Shanavia Dowdell,Calera,LA Tech
2005,Whitney Boddie,Florence,Auburn
2004,Starr Orr,Danville,MTSU
2003,Sidney Spencer,Hoover,Tennessee
2002,Kate Mastin,Boaz,Alabama
2001,Donyel Wheeler,Huffman,Alabama
2000,Natasha Thomas,Lawrence County,UAB
