Municipality,Area ( km ),Population ( 2011 ),N.U.T.S . III inclusion,District inclusion,Cultural Region inclusion
Amadora,23.78,"175,136",Grande Lisboa,Lisboa,Estremadura
Cascais,97.40,"206,479",Grande Lisboa,Lisboa,Estremadura
Lisbon,100.05,"547,733",Grande Lisboa,Lisboa,Estremadura
Loures,167.24,"205,054",Grande Lisboa,Lisboa,Estremadura
Mafra,291.66,"76,685",Grande Lisboa,Lisboa,Estremadura
Odivelas,26.54,"144,549",Grande Lisboa,Lisboa,Estremadura
Oeiras,45.88,"172,120",Grande Lisboa,Lisboa,Estremadura
Sintra,319.23,"377,835",Grande Lisboa,Lisboa,Estremadura
Vila Franca de Xira,318.19,"136,886",Grande Lisboa,Lisboa,Ribatejo
Alcochete,128.36,"17,569",Península de Setúbal,Setúbal,Estremadura
Almada,70.21,"174,030",Península de Setúbal,Setúbal,Estremadura
Barreiro,36.39,"78,764",Península de Setúbal,Setúbal,Estremadura
Moita,55.26,"66,029",Península de Setúbal,Setúbal,Estremadura
Montijo,348.62,"51,222",Península de Setúbal,Setúbal,Estremadura
Palmela,465.12,"62,831",Península de Setúbal,Setúbal,Estremadura
Seixal,95.50,"158,269",Península de Setúbal,Setúbal,Estremadura
Sesimbra,195.47,"49,500",Península de Setúbal,Setúbal,Estremadura
Setúbal,230.33,"121,185",Península de Setúbal,Setúbal,Estremadura
Total,"2,957.4 km","2,821,876",,,
