Dates,Tournament,Country,Prize fund ( US $ ),Winner,OWGR pts
Feb 4-7,Asian Tour International,Thailand,"300,000",Gaganjeet Bhullar ( 2 ),14
Feb 11-14,Avantha Masters,India,"2,100,000",Andrew Dodt ( 1 ),20
Mar 4-7,Maybank Malaysian Open,Malaysia,"2,000,000",Noh Seung-yul ( 2 ),24
Mar 30 - Apr 2,SAIL Open,India,"300,000",Rikard Karlberg ( 1 ),14
Apr 8-11,Air Bagan Myanmar Open,Myanmar,"300,000",Tetsuji Hiratsuka ( 1 ),14
Apr 22-25,Ballantine 's Championship,South Korea,"2,900,000",Marcus Fraser ( 1 ),38
Jun 17-20,Queen 's Cup,Thailand,"300,000",Tetsuji Hiratsuka ( 2 ),14
Jul 29 - Aug 1,Brunei Open,Brunei,"300,000",Mohammad Siddikur ( 1 ),14
Aug 5-8,Worldwide Holdings Selangor Masters,Malaysia,"365,000",Angelo Que ( 3 ),14
Sep 2-5,Omega European Masters,Switzerland,"2,800,000",Miguel Ángel Jiménez ( n/a ),30
Sep 9-12,Handa Singapore Classic,Singapore,"400,000",Peter Karmis ( 1 ),14
Sep 16-19,Yeangder Tournament Players Championship,Taiwan,"300,000",Thaworn Wiratchant ( 12 ),14
Sep 23-26,Asia-Pacific Panasonic Open,Japan,"1,700,000",Brendan Jones ( n/a ),22
Sep 30 - Oct 3,Mercuries Taiwan Masters,Taiwan,"500,000",Pariya Junhasavasdikul ( 1 ),14
Oct 14-17,Iskandar Johor Open,Malaysia,"1,250,000",Pádraig Harrington ( n/a ),20
Oct 28-31,CIMB Asia Pacific Classic Malaysia,Malaysia,"6,000,000",Ben Crane ( n/a ),38
Nov 11 - 14,Barclays Singapore Open,Singapore,"6,000,000",Adam Scott ( n/a ),48
Nov 18-21,UBS Hong Kong Open,Hong Kong,"2,500,000",Ian Poulter ( n/a ),38
Nov 25-28,King 's Cup,Thailand,"300,000",Udorn Duangdecha ( 1 ),14
Dec 2-5,Hero Honda Indian Open,India,"1,250,000",Rikard Karlberg ( 2 ),14
