Team,Location,Stadium,2012 season
Afturelding,Mosfellsbær,Varmárvöllur,5th
Dalvík/Reynir,Dalvík,Dalvíkurvöllur,6th
Grótta,Seltjarnarnes,Gróttuvöllur,10th
Hamar,Hveragerði,Grýluvöllur,9th
HK,Kópavogur,Kópavogsvöllur,3rd
Höttur,Egilsstaðir,Vilhjálmsvöllur,"1. deild , 11th"
ÍR,Reykjavík,Hertzvöllurinn,"1. deild , 12th"
KV,Reykjavík,KR-völlur,4th
Njarðvík,Njarðvík,Njarðvíkurvöllur,8th
Reynir S,Sandgerði,Sandgerðisvöllur,7th
Sindri,Höfn,Sindravellir,"3. deild , 1st"
Ægir,Þorlákshöfn,Þorlákshafnarvöllur,"3. deild , 2nd"
