Elector,Nationality,Cardinalatial title,Elevated,Elevator
Ordonho Alvares,Portuguese,Bishop of Frascati,"1278 , March 12",Nicholas III
"Bentivenga da Bentivengi , O.F.M",Italian,Bishop of Albano,"1278 , March 12",Nicholas III
"Latino Malabranca Orsini , O.P",Italian,Bishop of Ostia e Velletri,"1278 , March 12",Nicholas III
"Girolamo Masci , O.F.M",Italian,Bishop of Palestrina,"1278 , March 12",Nicholas III
Anchero Pantaleone,French,Priest of S. Prassede,"1262 , May 22",Urban IV
Hugh of Evesham,English,Priest of S. Lorenzo in Lucina,"1281 , April 12",Martin IV
Gervais Jeancolet de Clinchamp,French,Priest of SS . Silvestro e Martino ai Monti,"1281 , April 12",Martin IV
Cosmo Glusano de Casate,Italian,Priest of SS . Marcellino e Pietro,"1281 , April 12",Martin IV
Geoffroy de Bar,French,Priest of S. Susanna,"1281 , April 12",Martin IV
Giacomo Savelli,Italian,Deacon of S. Maria in Cosmedin,"1261 , December 17",Urban IV
Goffredo da Alatri,Italian,Deacon of S. Giorgio in Velabro,"1261 , December 17",Urban IV
Matteo Rosso Orsini,Italian,Deacon of S. Maria in Portico Octaviae,"1262 , May 22",Urban IV
Giordano Orsini,Italian,Deacon of S. Eustachio,"1278 , March 12",Nicholas III
Giacomo Colonna,Italian,Deacon of S. Maria in Via Lata ; commendatario of S. Marcello and S. Maria in Aquiro,"1278 , March 12",Nicholas III
Benedetto Caetani,Italian,Deacon of S. Nicola in Carcere Tulliano,"1281 , April 12",Martin IV
