No,Pos,Player,To,Fee,Date
7,FW,Jordan Roberts,,Released,"November 30 , 2017"
10,MF,Junior Burgos,FAS,Released,"November 30 , 2017"
11,MF,Anibal Echeverria,Western Nevada Coyotes,Released,"November 30 , 2017"
18,DF,Kip Colvey,Colorado Rapids,Free,"December 13 , 2017"
15,DF,Jimmy Ockford,San Jose Earthquakes,Free,"December 14 , 2017"
96,MF,Luis Felipe,San Jose Earthquakes,Free,"December 14 , 2017"
14,FW,Chris Wehan,San Jose Earthquakes,Free,"December 14 , 2017"
12,GK,Matt Bersano,San Jose Earthquakes,End of loan,"January 1 , 2018"
5,DF,Nick von Niederhäusern,Wil 1900,Free,"January 1 , 2018"
2,MF,Jackson Yueill,San Jose Earthquakes,End of loan,"January 1 , 2018"
