Rank,Athlete,Nationality,Time
1,Roy Fowler,England,37:19.7
2,Gaston Roelants,Belgium,37:32
3,Mariano Haro,Spain,37:41.6
4,Robert Bogey,France,37:55.6
5,Tim Johnston,England,37:58.7
6,Francisco Guardia,Spain,38:00
7,Mohamed Gammoudi,Tunisia,38:11.6
8,Henri Clerckx,Belgium,38:22.8
9,Hamoud Ameur,France,38:24.1
10,Abdeslem Bouchta,Morocco,38:24.5
11,Andy Brown,Scotland,38:26
12,Ali Khamassi,Tunisia,38:29
13,Basil Heatley,England,38:34
14,Hedwig Leenaert,Belgium,38:39
15,Pat Killeen,Ireland,38:39
16,Labidi Ayachi,Tunisia,38:42
17,Marcel Vandewattyne,Belgium,38:44
18,Michel Jazy,France,38:51
19,Tom O'Riordan,Ireland,38:52
20,Bakir Benaissa,Morocco,38:53
