Pick #,MLS team,Player,Position,Affiliation
50,Kansas City Wizards,Davy Arnaud,F,West Texas A & M University
51,Columbus Crew,Christof Lindenmayer,F,Loyola College in Maryland
52,New England Revolution,PASS,,
53,D.C. United,PASS,,
54,Dallas Burn,Jeremie Piette,M,West Texas A & M University
55,Dallas Burn,Ricardo Villar,M,Penn State
56,MetroStars,Mario Gomez,M,North Jersey Imperials ( PDL )
57,Kansas City Wizards,Brian Lavin,D,Yale University
58,New England Revolution,PASS,,
59,Los Angeles Galaxy,Lawrence Smalls,M,UC Irvine
60,San Jose Earthquakes,Aaron Biddle,D,Stanford University
