Club,Coach,Location,Stadium,Capacity,Kit sponsor
AGMK,Mirjalol Qosimov,Olmaliq,AGMK Stadium,"12,000",Joma
Andijan,Ildar Sakaev,Andijan,Soglom Avlod,"18,360",Adidas
Bunyodkor,Vadim Abramov,Tashkent,Bunyodkor Stadium,"34,000",Nike
Bukhoro,Bakhtiyar Ashurmatov,Bukhara,Bukhara Arena,"22,700",Joma
Kokand 1912,Numon Hasanov,Kokand,Kokand Stadium,"10,500",Adidas
Lokomotiv,Andrey Fyodorov,Tashkent,Lokomotiv Stadium,"8,000",Joma
Metallurg,Andrey Shipilov,Bekabad,Metallurg Stadium,"15,000",Adidas
Nasaf,Ruziqul Berdiyev,Qarshi,Qarshi Markazi Stadium,"16,000",Adidas
Navbahor,Andrei Kanchelskis,Namangan,Namangan Markazi Stadium,"22,000",Adidas
Pakhtakor,Shota Arveladze,Tashkent,Pakhtakor Stadium,"35,000",Adidas
Sogdiana,Sergey Lushan,Jizzakh,Soghdiana Stadium,"11,650",Nike
Qizilqum,Hamidjon Aktamov,Zarafshan,Progress Stadium,"12,500",Adidas
Dinamo,Davron Fayziev,Samarqand,Dinamo Stadium,"13,800",Joma
Surkhon,Andrei Miklyaev,Termez,Alpamish stadium,"6,000",Adidas
