Medal,Name,Games,Sport,Event
Silver,Men 's field hockey team Abdul Rashid Akhtar Hussain Munir Dar Ghulam Rasul Anwar Khan Habib Ali Kiddie Latif-ur-Rehman Manzoor Hussain Atif Motiullah Naseer Bunda Noor Alam Khursheed Aslam Abdul Waheed Mushtaq Ahmad Zakir Hussain,1956 Melbourne,Field hockey,Men 's tournament
Gold,Men 's field hockey team Abdul Hamid Rashid Abdul Abdul Waheed Bashir Ahmad Ghulam Rasul Anwar Khan Khursheed Aslam Habib Ali Kiddie Manzoor Hussain Atif Mushtaq Ahmad Motiullah Naseer Bunda Noor Alam Munir Dar,1960 Rome,Field hockey,Men 's tournament
Bronze,Mohammad Bashir,1960 Rome,Wrestling,Men 's freestyle welterweight
Silver,Men 's field hockey team Abdul Hamid Muhammad Asad Malik Munir Dar Mahmood Khalid Anwar Khan Nawaz Khizar Khurshid Azam Muhammad Manna Manzoor Hussain Atif Mohammed Rashid Motiullah Tariq Niazi Saeed Anwar Aziz Tariq Hayat Zafar Uddin Zaka,1964 Tokyo,Field hockey,Men 's tournament
Gold,Men 's field hockey team Abdul Rasheed Jahangir Butt Tanvir Dar Gulraiz Akhtar Khalid Mahmood Muhammad Asad Malik Ashfaq Ahmed Tariq Niazi Riaz Ahmad Riazuddin Saeed Anwar Tariq Aziz Zakir Hussain,1968 Mexico City,Field hockey,Men 's tournament
Silver,Men 's field hockey team Rashid Abdul Akhtar Rasool Ul Akhtar Jahangir Butt Ur Fazal Islahuddin Siddique Muhammad Asad Malik Shahnaz Sheikh Munawwaruz Zaman Ahmad Riaz Saeed Anwar Saleem Sherwani Iftikar Syed Mudassar Syed Zahid Sheikh,1972 Munich,Field hockey,Men 's tournament
Bronze,Men 's field hockey team Rashid Abdul Akhtar Rasool Mahmood Arshad Arshad Chaudhry Khan Haneef Islahuddin Siddique Samiullah Khan Hassan Manzoor Manzoor Hussain Munawwaruz Zaman Zia Qamar Nazim Salim Shahnaz Sheikh Saleem Sherwani Iftikar Syed Mudassar Syed,1976 Montreal,Field hockey,Men 's tournament
Gold,Men 's field hockey team Syed Ghulam Moinuddin Qasim Zia Nasir Ali Abdul Rashid Al-Hasan Ayaz Mahmood Naeem Akhtar Kalimullah Khan Manzoor Hussain Hassan Sardar Hanif Khan Khalid Hamid Shahid Ali Khan Tauqeer Dar Ishtiaq Ahmed Saleem Sherwani Mushtaq Ahmad,1984 Los Angeles,Field hockey,Men 's tournament
Bronze,Hussain Shah,1988 Seoul,Boxing,Men 's middleweight
Bronze,Men 's field hockey team Saeed Anjum Hasan Farhat Khalid Bashir Muhammad Khawaja Mansoor Ahmed Asif Bajwa Ikhlaq Muhammad Mohammad Khalid Sr Qamar Muhammad Hussain Musaddaq Rana Mujahid Shahbaz Ahmed Muhammad Shahbaz Shahid Ali Khan Tahir Zaman Wasim Feroz,1992 Barcelona,Field hockey,Men 's tournament
