Club,Home city,2003 result
América,São José do Rio Preto,10th
Atlético Sorocaba,Sorocaba,2nd ( Série A2 )
Corinthians,São Paulo,1st
Guarani,Campinas,6th
Ituano,Itu,16th
Juventus,São Paulo,19th
Marília,Marília,17th
Mogi Mirim,Mogi Mirim,15th
Oeste,Itápolis,1st ( Série A2 )
Palmeiras,São Paulo,4th
Paulista,Jundiaí,11th
Ponte Preta,Campinas,12th
Portuguesa,São Paulo,13th
Portuguesa Santista,Santos,3rd
Rio Branco,Americana,14th
Santo André,Santo André,8th
Santos,Santos,9th
São Caetano,São Caetano do Sul,5th
São Paulo,São Paulo,2nd
União Barbarense,Santa Bárbara d'Oeste,7th
