Year,Film,Song,Artist
1991,House Party 2,Ai n't Gon na Hurt Nobody,Kid ' n Play
1991,Nothing But Trouble,Same Song,Digital Underground ft. 2Pac
1994,Above the Rim,Regulate,Warren G ft. Nate Dogg
1994,Street Fighter,Something Kinda Funky,Rally Ral
1995,Friday,Keep Their Heads Ringin,Dr. Dre
1999,Office Space,Shove This Jay-Oh-Bee,Canibus and Biz Markie
2001,The Wash,Bad Intentions,Dr. Dre ft. Knoc-turn'al
2002,8 Mile,Lose Yourself,Eminem
2002,Like Mike,Basketball,"Lil ' Bow Wow ft. Fundisha , Jermaine Dupri , and Fabolous"
2002,Like Mike,Take Ya Home,Lil ' Bow Wow
2003,2 Fast 2 Furious,Act a Fool,Ludacris
