Region,Rnd,Host,Venue,City,State
East,1 & 2,Louisiana State University,LSU Assembly Center ( Pete Maravich Assembly Center ),Baton Rouge,Louisiana
East,1 & 2,Purdue University,Mackey Arena,West Lafayette,Indiana
East,1 & 2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
East,1 & 2,Duke University,Cameron Indoor Stadium,Durham,North Carolina
Mideast,1 & 2,University of Notre Dame,Edmund P. Joyce Center,Notre Dame,Indiana
Mideast,1 & 2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
Mideast,1 & 2,Texas Tech University,United Spirit Arena,Lubbock,Texas
Mideast,1 & 2,University of Virginia,University Hall ( University of Virginia ),Charlottesville,Virginia
Midwest,1 & 2,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia
Midwest,1 & 2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
Midwest,1 & 2,Iowa State University,Hilton Coliseum,Ames,Iowa
Midwest,1 & 2,Pennsylvania State University,Bryce Jordan Center,University Park,Pennsylvania
West,1 & 2,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
West,1 & 2,Rutgers University,Louis Brown Athletic Center,Piscataway,New Jersey
West,1 & 2,University of Oregon,McArthur Court,Eugene,Oregon
West,1 & 2,"University of California , Santa Barbara",UC Santa Barbara Events Center,Santa Barbara,California
