Club,Location,Stadium,Capacity
América,Mexico City,Azteca,"87,000"
Atlas,Guadalajara,Jalisco,"56,713"
Atlético San Luis,San Luis Potosí City,Alfonso Lastras,"25,111"
Juárez,Ciudad Juárez,Olímpico Benito Juárez,"19,703"
Cruz Azul,Mexico City,Azteca,"87,000"
Guadalajara,Zapopan,Akron,"45,364"
León,León,León,"31,297"
Monterrey,Guadalupe,BBVA Bancomer,"53,500"
Morelia,Morelia,Morelos,"35,000"
Necaxa,Aguascalientes City,Victoria,"25,500"
Pachuca,Pachuca,Hidalgo,"30,000"
Puebla,Puebla City,Cuauhtémoc,"51,726"
Querétaro,Querétaro City,Corregidora,"33,162"
Santos Laguna,Torreón,Corona,"30,000"
Tijuana,Tijuana,Caliente,"27,333"
Toluca,Toluca,Nemesio Díez,"31,000"
UANL,San Nicolás de los Garza,Universitario,"42,000"
UNAM,Mexico City,Olímpico Universitario,"52,000"
