Medal,Name,Sport,Event,Date
Gold,Daniyar Yeleussinov,Boxing,Men 's 64kg,26 Nov
Gold,Yelena Shalygina,Wrestling,Women 's Freestyle 63 kg,26 Nov
Gold,Anna Alyabyeva,Rhythmic Gymnastics,Individual,26 Nov
Gold,Serik Sapiyev,Boxing,Men 's 69kg,25 Nov
Gold,Kazakhstan,Water polo,Men 's,25 Nov
Gold,Kazakhstan,Rhythmic Gymnastics,Team,25 Nov
Gold,Rinat Sagandykov,Karate,Men 's -67 kg,25 Nov
Gold,Darkhan Assadilov,Karate,Men 's -60 kg,25 Nov
Gold,Dmitriy Karpov,Athletics,Men 's Decathlon,25 Nov
Gold,Olga Rypakova,Athletics,Women 's Triple Jump,25 Nov
Gold,Margarita Matsko,Athletics,Women 's 800m,25 Nov
Gold,Kazakhstan,Rugby,Women 's,23 Nov
Gold,Nurmakhan Tinaliyev,Wrestling,Men 's Greco-Roman 120 kg,23 Nov
Gold,Olga Tereshkova,Athletics,Women 's 400m,22 Nov
Gold,Svetlana Podobedova,Weightlifting,Women 's 75 kg,18 Nov
Gold,Ilya Ilyin,Weightlifting,Men 's 94 kg,18 Nov
Gold,Maiya Maneza,Weightlifting,Women 's 63 kg,16 Nov
Gold,Kazakhstan,Shooting,Women 's 25m Pistol Team,16 Nov
Silver,Birzhan Zhakypov,Boxing,Men 's 49kg,26 Nov
Silver,Kazakhstan,Athletics,Women 's 4 x 400m Relay,26 Nov
