Month,Year,Nationality,Player,Team,Position
September,2007.9 2007,Portugal,Marinho,Fátima,FW
October,2007.10 2007,Portugal,Toy,Olhanense,FW
November,2007.11 2007,Portugal,José Gaspar,Rio Ave,DF
December,2007.12 2007,Portugal,Hélder Sousa,Vizela,MF
January,2008.1 2008,Portugal,Paulo Lopes,Trofense,GK
February,2008.2 2008,Portugal,Pedro Ribeiro,Gil Vicente,DF
March,2008.3 2008,Portugal,Maciel Neto,Gil Vicente,FW
April,2008.4 2008,Portugal,Luís Coentrão,Gil Vicente,MF
September,2008.9 2008,Portugal,Ricardo Sousa,Beira-Mar,MF
October,2008.10 2008,Brazil,Igor Souza,Gil Vicente,FW
November,2008.11 2008,Portugal,Nuno Santos,Gondomar,GK
December,2008.12 2008,Brazil,Fernando Prass,União de Leiria,GK
January,2009.1 2009,Brazil,Cássio Vargas,União de Leiria,FW
February,2009.2 2009,Portugal,Márcio Ramos,Estoril,GK
March,2009.3 2009,Brazil,Djalmir,Olhanense,FW
April,2009.4 2009,Brazil,Carlão,União de Leiria,FW
May,2009.5 2009,Portugal,Nuno Laranjeira,Oliveirense,DF
September,2009.9 2009,Portugal,Pedro Pereira,Desportivo das Aves,FW
October,2009.10 2009,Portugal,Paulo Santos,Estoril,GK
November,2009.11 2009,Portugal,Basílio Almeida,Sporting da Covilhã,FW
