Position,Player,From club,Fee
Manager,Mehmet Duraković,Free agent,align=right| 0
GK,Mohd Farizal Marlias,Perak,align=right| 0
GK,Mohd Hamsani Ahmad,Negeri Sembilan,align=right| 0
GK,Muhd Syamim Othman,Johor Darul Takzim II,align=right| 0
DL,Mohd Azmi Muslim,FELDA United,align=right| 0
DC,Mohd Rizal Fahmi Abdul Rosid,Kelantan,align=right| 0
DRC,Muhd Shahrom Abdul Kalam,Perak,align=right| 0
DR,Mohd Shazlan Alias,T-Team,align=right| 0
DR,P. Rajesh,PKNS,align=right| 0
DC,Steve Pantelidis,Perth Glory,align=right| 0
AMLC,Juninho,TOT,align=right| 0
AML,Andik Vermansyah,Persebaya,align=right| 0
ST,Abdul Hadi Yahya,Perak,align=right| 0
ST,A. Thamil Arasu,Harimau Muda A,align=right| 0
ST,Ahmad Hazwan Bakri,Harimau Muda A,align=right| 0
ST,Paulo Rangel,Muang Thong United,align=right| 0
DC,Evaldo Silva dos Santos,Villa Nova Atlético Clube,align=right| 0
MC,Nazmi Faiz Mansor,PKNS F.C,align=right| 0
