Name,Hometown,Elimination
Salman Ali,"Mewat , Haryana",Winner
Ankush Bhardwaj,Shimla,Runner-up
Neelanjana Ray,Kolkata,2nd Runner-up
Nitin Kumar,Una,3rd Runner-up
Vibhor Parashar,New Delhi,4th Runner-up
Kunal Pandit,Mumbai,Eliminated 8th
Renu Nagar,Rajasthan,Eliminated 7th
Soumaya Chakrabotty,Kolkata,Eliminated 6th
Avanti Patel,Mumbai,Eliminated 5th
Sourabh Valmiki,Lakhimpur,Eliminated 4th
Biswajit Mohapatra,Orissa,Eliminated 4th
Krishnakali Saha,Tripura,Eliminated 3rd
Indira Das,Kolkata,Eliminated 2nd
Sonia Gazmer,Kolkata,Eliminated 1st
