Character/s,Author,Work,Notes
Ben,Stephen Gilbert,Ratman 's Notebooks,"A menacing rat featured in this 1968 horror novel ; also appears in the film adaptation Willard , the 2003 remake Willard , and the sequel Ben"
Dangerous Beans,Terry Pratchett,The Amazing Maurice and his Educated Rodents,A near-blind albino rat with a guru-like guidance to the rats and the only one who can withstand Spider 's mind control
King Rat,China Miéville,King Rat,"Fallen king of the rats , father of Saul , and locked into a centuries long feud with the Piper"
Lariska,Eduard Uspenskiy,Cheburashka,"The Old Lady Shapoklyak 's pet rat , whom she keeps in her purse"
Malcolm,W. H. Beck,Malcom at Midnight,"A class pet rat , who is prejudiced as a menace by the Midnight Academy until he proves them wrong by saving a kidnapped Iguana"
Melchisedec,Frances Hodgeson Burnett,A Little Princess,A domestic rat whom Sara Crewe befriends during her time as a servant at Miss Minchin 's Seminary ; she calls him a Bastille rat sent to be my friend
Nicodemus,Robert C. O'Brien,Mrs. Frisby and the Rats of NIMH,Leader of the rats of NIMH
Professor Ratigan,Eve Titus,Basil of Baker Street ; ;,Basil 's archenemy and a master criminal
Ratine,Jules Verne,Adventures of the Rat Family,"Heroine of the rat family , who sets to undo the evil magician Gardafour 's wicked spells"
Ratty,Lynne Jonell,Emmy and the Rat series,"Emmy 's closest friend , who comforts the girl at stressful times and has amazing powers"
Ripred,Suzanne Collins,The Underland Chronicles,"Main character , giant rat ( gnawer ) , leader of the rat resistance"
Samuel Whiskers & Anna Maria,Beatrix Potter,The Tale of Samuel Whiskers or The Roly-Poly Pudding,A rat couple who try to make Tom Kitten into a pudding until they are driven away by John Joiner
Scabbers,J.K. Rowling,Harry Potter series,Ron Weasley 's pet rat
Scrabble,Louisa May Alcott,Little Women,Pet rat of the March sisters
Socrates,Stephen Gilbert,Ratman 's Notebooks,"A white rat who is befriended , and used for evil , in this 1968 horror novel ; also appears in the film adaptation Willard and the 2003 remake Willard"
Surfer,Paul Zindel,Rats,A white pet of Sarah and Michael McGraw who becomes the leader of the mutant rats and introduces them to music and dance
Templeton,E. B . White,Charlotte 's Web,A barnyard rat who unwillingly helps Wilbur and cares more about eating things
Walter,Barbara Wersba,Walter : The Story of a Rat,A literate rat who tries to get to know Miss Pomeroy who shares a lot in common with him
Whisker,Cameron Stelzer,Pie Rats : The Forgotten Map,"A circus rat , originally named Wentworth Winterbottom , who becomes a Pie Rat and a member of Captain Black Rat 's crew aboard the Apple Pie and is renamed Whisker"
