,Name on the Register,Date listed,Location,City or town
1,Blantonia Plantation House,"March 4 , 1993 ( # 93000145 )",3 miles east of Red Lick on an unmarked road off Mississippi Highway 552 31°48′06″N 90°55′55″W / 31.801667°N 90.931944°W / 31.801667 ; -90.931944 ( Blantonia Plantation House ),Lorman
2,Cedar Grove Place,"March 28 , 1979 ( # 79001317 )",Mississippi Highway 553 31°42′36″N 91°14′39″W / 31.71°N 91.244167°W / 31.71 ; -91.244167 ( Cedar Grove Place ),Church Hill
3,China Grove,"April 3 , 1980 ( # 80002254 )",West of Lorman off U.S. Route 61 31°49′43″N 91°03′50″W / 31.828611°N 91.063889°W / 31.828611 ; -91.063889 ( China Grove ),Lorman
4,Christ Church,"May 6 , 1977 ( # 77000790 )",Mississippi Highway 553 31°42′54″N 91°14′17″W / 31.715°N 91.238056°W / 31.715 ; -91.238056 ( Christ Church ),Church Hill
5,Church Hill Rural Historic District,"September 8 , 2000 ( # 00001054 )","Mississippi Highway 553 and Church Hill Rd. , 1 mile south of Christ Episcopal Church 31°42′27″N 91°14′37″W / 31.7075°N 91.243611°W / 31.7075 ; -91.243611 ( Church Hill Rural Historic District )",Natchez
6,Coon Box Fork Bridge,"May 23 , 1979 ( # 79003429 )",Coon Box Rd . 31°47′25″N 91°05′37″W / 31.790278°N 91.093611°W / 31.790278 ; -91.093611 ( Coon Box Fork Bridge ),Coon Box
7,Hays House,"March 10 , 2009 ( # 09000111 )","18800 U.S. Route 61 , S. 31°49′28″N 91°02′54″W / 31.824358°N 91.048206°W / 31.824358 ; -91.048206 ( Hays House )",Lorman
8,Hughes-Clark House,"August 3 , 1987 ( # 87001260 )",221 Poindexter St. 31°42′40″N 91°03′36″W / 31.711111°N 91.06°W / 31.711111 ; -91.06 ( Hughes-Clark House ),Fayette
9,Jefferson Chapel A.M.E. Church and Cemetery,"January 24 , 2019 ( # 100003343 )",291 Chapel Hill Rd . 31°40′45″N 91°14′04″W / 31.679167°N 91.234444°W / 31.679167 ; -91.234444 ( Jefferson Chapel A.M.E. Church and Cemetery ),Natchez
10,Laurietta,"November 24 , 1980 ( # 80002253 )",South of Fayette off Mississippi Highway 33 31°40′45″N 91°04′56″W / 31.679167°N 91.082222°W / 31.679167 ; -91.082222 ( Laurietta ),Fayette
11,Mud Island Creek Complex ( 22JE508 and 22JE513 ),"June 29 , 1989 ( # 89000447 )",Address Restricted,Lorman
12,Oak Grove,"February 22 , 1979 ( # 79001318 )",Mississippi Highway 553 31°42′42″N 91°14′22″W / 31.711667°N 91.239444°W / 31.711667 ; -91.239444 ( Oak Grove ),Church Hill
13,Old Hill Place Bridge,"May 23 , 1979 ( # 79003430 )",Hill Rd . 31°40′09″N 91°10′52″W / 31.669167°N 91.181111°W / 31.669167 ; -91.181111 ( Old Hill Place Bridge ),Fayette
14,Pecan Grove,"March 13 , 1980 ( # 80002252 )",North of Church Hill off Mississippi Highway 553 31°44′06″N 91°13′51″W / 31.735°N 91.230833°W / 31.735 ; -91.230833 ( Pecan Grove ),Church Hill
15,Poplar Hill Grade School,"March 10 , 2010 ( # 10000064 )",3080 Poplar Hill Rd . 31°45′50″N 91°05′37″W / 31.763889°N 91.093611°W / 31.763889 ; -91.093611 ( Poplar Hill Grade School ),Fayette
16,Richland,"July 5 , 1984 ( # 84002227 )",Off Mississippi Highway 553 31°45′07″N 91°11′54″W / 31.751944°N 91.198333°W / 31.751944 ; -91.198333 ( Richland ),Church Hill
17,Rodney Center Historic District,"August 29 , 1980 ( # 80002255 )",Northwest of Lorman 31°51′40″N 91°11′52″W / 31.861111°N 91.197778°W / 31.861111 ; -91.197778 ( Rodney Center Historic District ),Lorman
18,Rodney Presbyterian Church,"February 6 , 1973 ( # 73001018 )",West of Alcorn in the village of Rodney 31°51′46″N 91°11′59″W / 31.862847°N 91.199789°W / 31.862847 ; -91.199789 ( Rodney Presbyterian Church ),Alcorn
19,Rosswood,"December 8 , 1978 ( # 78001606 )",East of Lorman on Mississippi Highway 552 31°49′08″N 91°00′43″W / 31.818889°N 91.011944°W / 31.818889 ; -91.011944 ( Rosswood ),Lorman
20,Springfield Plantation,"November 23 , 1971 ( # 71000454 )",8 miles west of Fayette off Mississippi Highway 553 31°44′46″N 91°11′35″W / 31.746111°N 91.193056°W / 31.746111 ; -91.193056 ( Springfield Plantation ),Fayette
