Model designation,Build year,Total produced,AAR wheel arrangement,Prime mover,Power output
U12C,1956-1961,153,C-C,Cooper Bess FVL 8ST,"1,420 hp"
UM12C,"1956,1963,1966",20 Philippine National Railways 50 State Railway of Thailand,C-C,Cummins KT38-L,"1,320 hp ( 980 kW )"
U13C,1967,109,C-C,GE FDL-8,"1,420 hp"
U14C,1979,15,C-C,,"1,400 hp"
U15C,1970-1980,274,C-C,GE 7FDL-8,"1,160 kW ( 1,560 hp )"
U17C,1973-1981,30,C-C,GE 7FDL-8,"1,700 hp ( 1,270 kW )"
U18C,1976-1998,420,C-C,GE 7FDL-8,"1,950 hp ( 1,450 kW )"
U20C,1995-2005,984,C-C,GE 7FDL-8,"2,150 hp ( 1,600 kW )"
U22C,1975-1985,49,C-C,,
U23C,1968-70,223,C-C,GE FDL-12,"2,250 hp ( 1,680 kW )"
U25C,1963-65,113,C-C,GE FDL-16,"2,500 hp ( 1,860 kW )"
U26C,1971-87,392,C-C,GE FDL-12,"2,750 hp ( 2,050 kW )"
U28C,1965-66,71,C-C,GE FDL-16,"2,800 hp ( 2,090 kW )"
U30C,1966-76,600,C-C,GE FDL-16,"3,000 hp ( 2,240 kW )"
U33C,1968-75,375,C-C,GE FDL-16,"3,300 hp ( 2,460 kW )"
U36C,1971-75,238,C-C,GE FDL-16,"3,600 hp ( 2,700 kW )"
U50C,1969-71,40,C-C,Dual GE FDL-12,"5,000 hp ( 3,700 kW )"
