Team,City,Autonomous community,Arena
Aloe Plus Lanzarote Conejeros,Arrecife,Canary Islands,Ciudad Deportiva
Baloncesto Alcalá,Alcalá de Henares,Community of Madrid,Ciudad Deportiva
CB Agüimes,Agüimes,Canary Islands,Municipal
CB Pozuelo Arrabe Asesores,Pozuelo de Alarcón,Community of Madrid,El Torreón
Distrito Olímpico,Madrid,Community of Madrid,San Blas
Estudio,Madrid,Community of Madrid,Paco Hernández
Globalcaja Quintanar,Quintanar del Rey,Castile-La Mancha,Ángel Lancho
Isover Basket Azuqueca,Azuqueca de Henares,Castile-La Mancha,La Paz
Lujisa Guadalajara Basket,Guadalajara,Castile-La Mancha,San José
Movistar Estudiantes B,Madrid,Community of Madrid,Antonio Magariños
Náutico Tenerife,Santa Cruz de Tenerife,Canary Islands,RCNT
NCS Alcobendas,Alcobendas,Community of Madrid,Antela Parada
Real Madrid B,Madrid,Community of Madrid,Ciudad Real Madrid
Tobarra Club de Baloncesto,Tobarra,Castile-La Mancha,La Granja
Uros de Rivas,Rivas-Vaciamadrid,Community of Madrid,Cerro del Telégrafo
Zentro Basket Madrid,Madrid,Community of Madrid,Antonio Díaz Miguel
