Season,Winner,Runner-up,Third
1996-97,Karine Ruby,Manuela Riegler,Sondra Van Ert
1997-98,Ursula Fingerlos,Manuela Riegler,Nicolien Sauerbreij
1998-99,Ursula Fingerlos ( 2 ),Manuela Riegler ( 3 ),Sophia Bergdahl
1999-00,Sandra Farmand,Carmen Ranigler,Manuela Riegler
2000-01,Karine Ruby,Sandra Farmand,Marie Laissus
2001-02,Doresia Krings,Marie Laissus,Ursula Fingerlos
2002-03,Karine Ruby,Olivia Nobs,Deborah Anthonioz
2003-04,Karine Ruby ( 4 ),Julie Pomagalski,Lindsey Jacobellis
2004-05,Doresia Krings ( 2 ),Deborah Anthonioz,Carmen Ranigler
2005-06,Dominique Maltais,Maelle Ricker,Doresia Krings
2006-07,Lindsey Jacobellis,Tanja Frieden,Maelle Ricker
2007-08,Maelle Ricker,Lindsey Jacobellis,Mellie Francon
2008-09,Lindsey Jacobellis ( 2 ),Maelle Ricker,Sandra Frei
2009-10,Maelle Ricker ( 2 ),Helene Olafsen,Dominique Maltais
2010-11,Dominique Maltais,Alexandra Jekova,Lindsey Jacobellis ( 2 )
2011-12,Dominique Maltais,Maelle Ricker ( 3 ),Alexandra Jekova
2012-13,Dominique Maltais,Nelly Moenne Loccoz,Michela Moioli
2013-14,Dominique Maltais ( 5 ),Lindsey Jacobellis ( 2 ),Alexandra Jekova ( 2 )
2014-15,Nelly Moenne Loccoz,Dominique Maltais,Michela Moioli ( 2 )
2015-16,Michela Moioli,Eva Samková,Belle Brockhoff
