Medal,Name,Sport,Event,Date
Gold,Krishnan Sasikiran,Chess,Men 's individual - Rapid,October 27
Gold,Dronavalli Harika,Chess,Women 's individual - Rapid,October 27
Gold,India Krishnan Sasikiran Surya Shekhar Ganguly Chakkravarthy Deepan Koneru Humpy Dronavalli Harika Tania Sachdev,Chess,Mixed team - Rapid,October 26-27
Gold,Sinimol Paulose,Indoor athletics,Women - 1500 m,October 31
Gold,Chatholi Hamza,Indoor athletics,Men - 1500 m,October 31
Gold,P. J. Vinod,Indoor athletics,Men - Heptathlon,November 1
Gold,Krishnan Sasikiran,Chess,Men 's individual - Blitz,November 2
Gold,Koneru Humpy,Chess,Women 's individual - Blitz,November 2
Gold,India,Kabaddi,Men,November 3
Silver,India Krishnan Sasikiran Surya Shekhar Ganguly Arun Prasad Subramanian Koneru Humpy Dronavalli Harika Tania Sachdev,Chess,Mixed team - Blitz,November 3
Silver,India Krishnan Sasikiran Surya Shekhar Ganguly Chakkravarthy Deepan Koneru Humpy Dronavalli Harika Meenakshi Subbaraman,Chess,Mixed team - Classic,October 28-30
Silver,Geet Sethi,Cue Sports,English billiards - Singles,November 2
Silver,Surendra Singh,Indoor athletics,Men - 3000 m,October 31
Silver,Sinimol Paulose,Indoor athletics,Women - 800 m,November 1
Silver,Preeja Sreedharan,Indoor athletics,Women - 3000 m,October 31
Silver,Sandeep Shukla,Muay,Middleweight 71-75 kg ),November 3
Silver,Sandeep Sejwal,Muay,50 m breaststroke,October 31
Silver,Sandeep Sejwal,Muay,100 m breaststroke,October 30
Bronze,Dronavalli Harika,Chess,Women 's individual - Classic,October 31
Bronze,Yasin Merchant Alok Kumar Manan Chandra,Cue Sports,Snooker - Team,October 31
