Canton,Pop . ( 2001 ),Area ( km² ),Seat/Capital
Alfredo Baquerizo Moreno ( Jujan ),"19,982",216,Alfredo Baquerizo Moreno ( a.k.a . Jujan )
Balao,"17,262",465,Balao
Balzar ( San Jacinto de Balzar ),"48,470","1,173",Balzar
Colimes,"21,049",758,Colimes
Coronel Marcelino Maridueña,"11,054",255,Coronel Marcelino Maridueña
Daule,"85,148",462,Daule
Durán,"178,714",339,Durán
El Empalme,"64,789",711,El Empalme ( a.k.a . Velasco Ibarra )
El Triunfo,"34,117",389,El Triunfo
General Antonio Elizalde ( Bucay ),"8,696",152,General Antonio Elizalde ( a.k.a . Bucay )
Guayaquil,"2,039,789","5,237",Guayaquil
Isidro Ayora,"8,226",492,Isidro Ayora
Lomas de Sargentillo,"14,194",67,Lomas de Sargentillo
Milagro,"140,103",401,Milagro
Naranjal,"53,482","2,015",Naranjal
Naranjito,"31,756",226,Naranjito
Nobol,"14,753",128,Nobol ( a.k.a . Narcisa de Jesús )
Palestina,"14,067",194,Palestina
Pedro Carbo,"36,711",927,Pedro Carbo
Playas ( General Villamil Playas ),"30,045",269,Playas ( a.k.a . General Villamil Playas )
