Entry date,Position,Player,From club,Fee
November 2013,Head coach,Steve Darby,Free agent,align=right| 0
November 2013,DRC,Muhd Nazri Ahmad,Darul Takzim FC,align=right| 0
November 2013,DC,Lim Choon Wee,Kelantan Chinese FC,align=right| 0
November 2013,DR,Muhd Aizat Jaini,UiTM F.C,align=right| 0
November 2013,DMC,Amar Rohidan,Felda United F.C,align=right| 0
November 2013,AMR,Famirul Asyraf Sayuti,Sime Darby F.C,align=right| 0
November 2013,ST,Ahmad Shakir Mohd Ali,Negeri Sembilan,align=right| 0
November 2013,DC,Faizol Nazlin Sayuti,Kelantan President 's Cup,align=right| 0
November 2013,MC,Mohamed Shawky,Al Naft,align=right| 0
November 2013,AML,Wan Zaharulnizam Zakaria,Harimau Muda A,align=right| 0
