Team,Home city,Home ground,Since,First app,Seasons
Arna-Bjørnar,Indre Arna ( Bergen ),Arna Idrettspark,2006,2001,19
Avaldsnes,Avaldsnes,Avaldsnes Idrettssenter,2013,2013,8
Klepp,Kleppe,Klepp stadion,1987,1987,34
Kolbotn,Kolbotn,Sofiemyr,1995,1995,26
LSK Kvinner,Lillestrøm,LSK-Hallen,1987,1987,34
Lyn,Oslo,Kringsjå kunstgress,2018,2018,3
Røa,Oslo,Røa kunstgress,2000,2000,21
Sandviken,Bergen,Stemmemyren,2015,1987,27
Trondheims-Ørn,Trondheim,Koteng Arena,1987,1987,34
Vålerenga,Oslo,Intility Arena,2012,2012,9
