Medal,Name,Sport,Event
Gold,Kim Ki-hoon,Short track speed skating,Men 's 1000 m
Gold,Kim Ki-hoon,Short track speed skating,Men 's 1500 m
Gold,Team Korea,Short track speed skating,Men 's 5000 m relay
Gold,Kim So-hee,Short track speed skating,Women 's 1500 m
Gold,Bae Ki-tae,Speed skating,Men 's 1000 m
Gold,Bae Ki-tae,Speed skating,Men 's 1500 m
Silver,Team Korea,Cross-country skiing,Men 's 4 x 10 km Relay
Silver,Kim Ki-hoon,Short track speed skating,Men 's 500 m
Silver,Lee Joon-ho,Short track speed skating,Men 's 1500 m
Silver,Lee Joon-ho,Short track speed skating,Men 's 3000 m
Silver,Lee Hyun-jung,Short track speed skating,Women 's 1000 m
Silver,Team Korea,Short track speed skating,Women 's 3000 m Relay
Silver,Bae Ki-tae,Speed skating,Men 's 500 m
Bronze,Hur Seung-wook,Alpine skiing,Men 's Slalom
Bronze,Team Korea,Biathlon,4 x 7.5 km Relay
Bronze,Team Korea,Ice hockey,Men 's competition
Bronze,Kwon Young-chul,Short track speed skating,Men 's 1000 m
Bronze,Chun Lee-kyung,Short track speed skating,Women 's 1000 m
Bronze,Lee In-hoon,Speed skating,Men 's 1500 m
Bronze,Oh Yong-seok,Speed skating,Men 's 5000 m
