Medal,Name,Games,Sport,Event
Gold,Chiang Chih Chung,2000 Sydney,Athletics,Men 's javelin throw F13
Gold,Chiang Chih Chung,2004 Athens,Athletics,Men 's javelin throw F13
Gold,Lee Ching Chung,1996 Atlanta,Judo,Men 's 60 kg
Gold,Lin Tzu Hui,2004 Athens,Powerlifting,Women 's 75 kg
Gold,Lin Tzu Hui,2008 Beijing,Powerlifting,Women 's 75 kg
Silver,Lee Kai Lin,2012 London,Judo,Women 's 48 kg
Silver,Lin Chin Mei,2004 Athens,Shooting,Women 's air pistol SH1
Silver,Chou Chang Shen,2000 Sydney,Table tennis,Men 's singles class 5
Silver,Chou Chang Shen Lin Yen Hung,2000 Sydney,Table tennis,Men 's team class 5
Silver,Hsiao Shu Chin Wei Mei-hui,2004 Athens,Table tennis,Women 's team class 4-5
Silver,Cheng Ming-chih Lin Yen-hung,2016 Rio de Janeiro,Table tennis,Men 's team class 4-5
Bronze,Tseng Lung Hui,2012 London,Archery,Men 's individual recurve W1/W2
Bronze,Tseng Lung Hui,2008 Beijing,Archery,Men 's individual recurve W1/W2
Bronze,Lin Der Chang,1992 Barcelona,Judo,Men 's 86 kg
Bronze,Lee Ching Chung,2000 Sydney,Judo,Men 's 60 kg
Bronze,Lin Tzu Hui,2012 London,Powerlifting,Women 's 75 kg
Bronze,Lin Tzu Hui,2016 Rio de Janeiro,Powerlifting,Women 's 79 kg
Bronze,Lu Li Hua,2000 Sydney,Powerlifting,Women 's 44 kg
Bronze,Chou Chang Shen,1996 Atlanta,Table tennis,Men 's singles class 5
Bronze,Hsu Chih Shan,1996 Atlanta,Table tennis,Men 's open class 6-10
