Year,Accomplishment,Ride,Location,Notes
1981,First wooden coaster built by Intamin,American Eagle,Six Flags Great America,When opened it featured the longest drop in the world and fastest speed on a wooden coaster
1985,First ( and only ) Spacediver coaster,Z-Force,"Six Flags Great America , Six Flags Over Georgia , Six Flags Magic Mountain","Opened in '85 at Great America , was relocated to Over Georgia in '88 , then to Magic Mountain and opened there as Flashback in '92 ; demolished and scrapped in mid-December 2007 after sitting idle since 2003 First coaster to feature four-abreast seating"
1997,First coaster to go above 300 ft ( 90 m ) First coaster to go 100 mph ( 160 km/h ),Tower of Terror II,Dreamworld,Not a complete circuit ; the train does not reach the top of the vertical spike
1997,First coaster with a structure to reach beyond 400 ft ( 120 m ),Superman : Escape from Krypton,Six Flags Magic Mountain,Not a complete circuit ; the train does not reach the top of the vertical spike ; formerly Superman : the Escape
1998,First LIM -launched inverted coaster First Impulse shuttle coaster,Linear Gale,Tokyo Dome City,Closed in 2010 and subsequently removed
1998,"First complete-circuit , LIM-launched inverted coaster","Volcano , The Blast Coaster",Kings Dominion,Fastest inverted coaster at 70 mph ( 110 km/h ) when first opened
2000,First Giga Coaster ( over 300 ft ) First coaster to drop 300 ft ( 90 m ),Millennium Force,Cedar Point,First complete circuit coaster to stand over 300 ft ( 310 ft ) Drop is exactly 300 ft ( 90 m )
2000,First LIM-launched Twisted impulse coaster,Possessed,Dorney Park,Previously operated at Geauga Lake as Superman : Ultimate Escape and Steel Venom
2000,First Stand Up Drop Tower,Apocalypse,Drayton Manor,5 Towers with 3 stand up towers & 2 sit down towers Tower 5 was modified in 2002 to feature the Worlds First Stand Up Floorless drop tower
2001,First coaster to utilize a LIM launch hill,California Screamin ',Disney California Adventure Park,"Has a magnetic launch followed by a magnetic non-cable/chain lift hill ( this , along with scream tunnels , was done to reduce noise ) Currently the longest coaster with inversions"
2001,First wooden coaster with prefabricated track,Colossos,Heide Park,
2002,First coaster to do 10 inversions,Colossus,Thorpe Park,"Has 10 inversions - in order : 1 Loop , 1 Cobra Roll ( counts as 2 ) , 2 Corkscrews , and 5 heartline rolls"
2002,First hydraulic catapult launch coaster,Xcelerator,Knott 's Berry Farm,"Accelerates from 0 to 82 miles per hour , covering 157 feet of launch track , in just 2.3 seconds"
2003,First Strata coaster ( over 400 ft ),Top Thrill Dragster,Cedar Point,Tallest and fastest coaster in the world when opened at 420 ft ( 128 m ) and 120 mph ( 190 km/h )
2004,First accelerator coaster to feature inversions,Storm Runner,Hersheypark,Reaches a height of 150 ft and catapults riders from 0 to 72 mph in 2 seconds Features a top hat and three inversions
2005,World 's tallest coaster ( 2005-present ) ; was world 's fastest coaster ( 2005-2010 ),Kingda Ka,Six Flags Great Adventure,456 feet high ; launch speed 128 mph ( 206 km/h )
2007,First 4th Dimension design ZacSpin Coaster by Intamin First Intamin coaster to include curved hydraulic chain lift hill,Kirnu,Linnanmäki,First compact 4-D coaster in the world Features redesigned restraints ( lap bar with safety belt shoulder harness system ) and non-friction magnetic brakes
2007,Intamin 's first Wing Rider coaster,Furius Baco,PortAventura Park at PortAventura World,Accelerates from 0 to 135 km/h ( 84 mph ) in 3.5 seconds Was fastest coaster in Europe until 2017
2008,"At 97 degrees , steepest drop of all Intamin coasters",Fahrenheit,Hersheypark,Ascends chain lift hill at a 90 degree angle Features a 121-foot Norwegian loop and six inversions
2008,"Record holder at the time for the steepest wooden coaster in the world Currently the highest , fastest , longest coaster in South Korea",T Express,Everland,Maximum 77 degrees Height 183.75 ft ( 56.01m ) Top speed 64.6 mph ( 104 km/h ) Length 5383.10 ft ( 1641m ) 12 airtime hills
