Event,Record,Athlete,Nationality,Date
100 m,9.77 ( +1.5 m/s ),Asafa Powell,Jamaica,11 June 2006
200 m,19.94,Michael Johnson,United States,15 September 1991
300 m,31.56,Douglas Walker,Great Britain,19 July 1998
400 m,44.23,Kirani James,Grenada,5 June 2016
600 m,1:13.10 DLR,David Rudisha,Kenya,5 June 2016
800 m,1:42.79,Emmanuel Korir,Kenya,18 August 2018
1500 m,3:29.33,Asbel Kiprop,Kenya,5 June 2016
Mile,3:51.89,Asbel Kiprop,Kenya,24 August 2014
3000 m,7:26.69,Kenenisa Bekele,Ethiopia,15 July 2007
Two miles,8:07.85 DLR,Mo Farah,Great Britain,24 August 2014
5000 m,13:00.20,Vincent Chepkok,Kenya,10 July 2010
110 m hurdles,12.95 ( -0.9 m/s ),Aries Merritt,United States,26 August 2012
400 m hurdles,47.67,Kevin Young,United States,14 August 1992
3000 m steeplechase,8:00.12,Conseslus Kipruto,Kenya,5 June 2016
High jump,2.40 m,Mutaz Essa Barshim,Qatar,20 August 2017
Long jump,8.53 m ( +1.5 m/s ),Luvo Manyonga,South Africa,18 August 2018
Triple jump,17.74 m,Christian Olsson,Sweden,13 July 2003
Shot put,22.45 m,Christian Cantwell,United States,11 June 2006
Discus throw,69.83 m,Piotr Małachowski,Poland,10 July 2010
Javelin throw,95.66 m,Jan Železný,Czech Republic,29 August 1993
