Actress,President,Film,Year
Christina Applegate,President Diane Steen,Mafia !,1998
Ernestine Barrier,Madame President,Project Moonbase,1953
Polly Bergen,President Leslie McCloud,Kisses for My President,1964
Sally Champlin,The President,The Woman Every Man Wants,2001
Caroline Goodall,President Ilene Dover,Hunter Killer,2018
Penny Johnson Jerald,President Amanda Waller,Justice League : Gods and Monsters,2015
Stephanie Paul,The President,Iron Sky,2012
Joan Rivers,President Rivers,Les Patterson Saves the World,1987
Loretta Swit,President Barbara Adams,Whoops Apocalypse,1986
Charlize Theron,President Charlotte Field,Long Shot,2019
Sela Ward,President Elizabeth Lanford,Independence Day : Resurgence,2016
