Year,Player,Position,Nationality,Team
2008,Matt Jordan,Goalkeeper,United States,Montreal Impact
2009,Dwayne De Rosario,Midfielder,Canada,Toronto FC
2010,Dwayne De Rosario,Midfielder,Canada,Toronto FC
2011,Joao Plata,Forward,Ecuador,Toronto FC
2012,Ryan Johnson,Forward,Jamaica,Toronto FC
2013,Justin Mapp,Midfielder,United States,Montreal Impact
2014,Justin Mapp,Midfielder,United States,Montreal Impact
2015,Russell Teibert,Midfielder,Canada,Vancouver Whitecaps FC
2016,Benoît Cheyrou,Midfielder,France,Toronto FC
2017,Sebastian Giovinco,Forward,Italy,Toronto FC
2018,Jonathan Osorio,Midfielder,Canada,Toronto FC
2019,Ignacio Piatti,Forward,Argentina,Montreal Impact
