Name,Position,School,Number,Official,Other
Ralph Guglielmi,Quarterback,Notre Dame,8/8,"AAB , AFCA , AP , FWAA , INS , NEA , SN , UP","CP , WC"
Howard Cassady,Halfback,Ohio State,8/8,"AAB , AFCA , AP , FWAA , INS , NEA , SN , UP","CP , WC"
Alan Ameche,Fullback,Wisconsin,8/8,"AAB , AFCA , AP , FWAA , INS , NEA , SN , UP","CP , WC"
Bud Brooks,Guard,Arkansas,8/8,"AAB , AFCA , AP , FWAA , INS , NEA , SN , UP",WC
Jack Ellena,Tackle,UCLA,7/8,"AAB , AFCA , AP , INS , NEA , SN , UP","CP , WC"
Dicky Moegle,Halfback,Rice,7/8,"AAB , AFCA , AP , FWAA , NEA , SN , UP",WC
Kurt Burris,Center,Oklahoma,6/8,"AFCA , AP , FWAA , NEA , SN , UP","CP , WC"
Max Boydston,End,Oklahoma,6/8,"AAB , AFCA , FWAA , INS , SN , UP",WC
Ron Beagle,End,Navy,6/8,"AAB , AP , FWAA , INS , NEA , SN",WC
Cal Jones,Guard,Iowa,5/8,"AAB , FWAA , NEA , SN , UP","CP , WC"
Sid Fournet,Tackle,LSU,5/8,"AFCA , FWAA , INS , NEA , UP",WC
