Year,Coach,School,Record
2006-07,Krista Kilburn-Stevesky,Hofstra,26-8
2007-08,Jeff Walz,Louisville,26-10
2008-09,Kelly Packard,Ball State,26-9
2009-10,Teresa Weatherspoon,Louisiana Tech,23-9
2010-11,Stephanie Glance,Illinois State,24-10
2011-12,Jennifer Hoover,High Point,20-13
2012-13,Holly Warlick,Tennessee,27-8
2013-14,Billi Godsey,Iona,26-6
2014-15,Lisa Fortier,Gonzaga,26-8
2015-16,Joni Taylor,Georgia,21-10
2016-17,Shauna Green,Dayton,22-9
2017-18,Bart Brooks,Belmont,31-4
2018-19,Carlos Funchess,Southern,20-13
