School,Conference,Season Record
Abilene Christian,Lone Star Conference,8-3
Albany State,Southern Intercollegiate Athletic Conference,8-2
Arkansas Tech,Gulf South Conference,8-2
California ( PA ),Pennsylvania State Athletic Conference,8-3
Carson-Newman,South Atlantic Conference,9-2
Central Washington,Great Northwest Athletic Conference,11-0
East Stroudsburg,Pennsylvania State Athletic Conference,8-3
Edinboro,Pennsylvania State Athletic Conference,8-3
Fayetteville State,Central Intercollegiate Athletic Association,8-3
Grand Valley State,Great Lakes Intercollegiate Athletic Conference,10-1
Hillsdale,Great Lakes Intercollegiate Athletic Conference,9-2
Midwestern,Lone Star Conference,9-2
Minnesota Duluth,Northern Sun Intercollegiate Conference,10-1
"Minnesota State , Mankato",Northern Sun Intercollegiate Conference,10-1
Nebraska-Kearney,Rocky Mountain Athletic Conference,10-1
UNC - Pembroke,Independent,9-1
North Alabama,Gulf South Conference,10-1
Northwest Mo,Mid-America Intercollegiate Athletics Association,10-1
Saginaw Valley,Great Lakes Intercollegiate Athletic Conference,9-2
Shippensburg,Pennsylvania State Athletic Conference,9-2
