No,Year,Competition,Opponent,Score,Venue
1,1961,GCAFL,Ipswich,9.12 ( 66 ) - 7.11 ( 53 ),Labrador Sports Ground
2,1962,GCAFL,Currumbin Lions,9.18 ( 72 ) - 2.7 ( 19 ),Labrador Sports Ground
3,1966,GCAFL,Surfers Paradise Demons,14.24 ( 108 ) - 7.16 ( 58 ),Salk Oval
4,1975,GCAFL,Coolangatta Blues,26.16 ( 172 ) - 17.16 ( 118 ),Salk Oval
5,1976,GCAFL,Broadbeach Cats,14.11 ( 95 ) - 9.14 ( 68 ),Salk Oval
6,1977,GCAFL,Coolangatta Blues,22.18 ( 150 ) - 13.9 ( 87 ),Salk Oval
7,1979,GCAFL,Coolangatta Blues,17.16 ( 118 ) - 16.19 ( 115 ),Salk Oval
8,1980,GCAFL,Palm Beach Currumbin Lions,17.18 ( 120 ) - 15.8 ( 98 ),Salk Oval
9,1983,QAFL,Morningside Panthers,13.12 ( 90 ) - 12.5 ( 77 ),Windsor Park
10,1985,QAFL,Mayne Tigers,11.8 ( 74 ) - 10.11 ( 71 ),Windsor Park
11,1987,QAFL,Windsor-Zillmere Eagles,13.17 ( 75 ) - 11.6 ( 72 ),Windsor Park
12,1989,QAFL,Windsor-Zillmere Eagles,16.17 ( 113 ) - 12.5 ( 77 ),Brisbane Cricket Ground
13,1990,QAFL,Morningside Panthers,22.14 ( 146 ) - 12.15 ( 87 ),Brisbane Cricket Ground
14,1992,QAFL,Morningside Panthers,14.19 ( 94 ) - 12.9 ( 80 ),Brisbane Cricket Ground
15,1997,QSFL,Mount Gravatt Vultures,26.13 ( 169 ) - 11.9 ( 75 ),Windsor Park
16,1998,QSFL,Morningside Panthers,12.15 ( 87 ) - 11.10 ( 76 ),Giffin Park
17,1999,QSFL,North Brisbane Eagles,15.14 ( 104 ) - 9.7 ( 61 ),Giffin Park
18,2000,QAFL,North Brisbane Eagles,10.8 ( 68 ) - 8.11 ( 59 ),Giffin Park
19,2005,QAFL,Morningside Panthers,16.15 ( 11 ) - 6.14 ( 50 ),Brisbane Cricket Ground
20,2006,QAFL,Zillmere Eagles,17.14 ( 116 ) - 16.8 ( 104 ),Carrara Stadium
