Team,Manager,Captain,Kit manufacturer,Shirt sponsor
FC Daugava,Ivan Tabanov,Jurijs Sokolovs,Erreà,-
FK Daugava Rīga,Jurijs Popkovs,Vadims Gospodars,Adidas,-
FB Gulbene,Mihails Koņevs,Alberts Nikoļskis,Erreà,Piebalga
FK Jelgava,Dainis Kazakevičs,Valērijs Redjko,Macron,LDz Cargo
FC Jūrmala,Vladimirs Pačko,Maksims Daņilovs,Givova,-
SK Liepājas Metalurgs,Jānis Intenbergs,Tomas Tamošauskas,Adidas,-
FS Metta/LU,Andris Riherts,Romāns Rožkovskis,Nike,SMS Credit.lv
Skonto FC,Marians Pahars,Germans Māliņš,Kappa,-
FK Spartaks Jūrmala,Arminas Narbekovas,Nauris Bulvītis,Masita,-
FK Ventspils,Jurģis Pučinskis,Vitālijs Smirnovs,Adidas,VK Tranzīts
