No,Name,Position,Seasons,Hometown,Inducted
34,Ray Allen,G,1993-96,"Merced , California","February 5 , 2007"
44,Wes Bialosuknia,G,1963-67,"Poughkeepsie , New York","February 5 , 2007"
24,Scott Burrell,G,1989-93,"New Haven , Connecticut","November 2 , 2018"
0 3,Caron Butler,F,2000-02,"Racine , Wisconsin","February 13 , 2016"
22,Bill Corley,F / C,1965-68,"Williston Park , New York","February 15 , 2012"
0 3,Walt Dropo,C,1942-47,"Moosup , Connecticut","February 5 , 2007"
42,Khalid El-Amin,G,1997-2000,"Minneapolis , Minnesota","February 23 , 2014"
22,Rudy Gay,F,2004-06,"Baltimore , Maryland","February 25 , 2012"
32,Richard Hamilton,G / F,1996-99,"Coatesville , Pennsylvania","February 5 , 2007"
42,Tony Hanson,G,1973-77,"Waterbury , Connecticut","February 5 , 2007"
42,Toby Kimball,F / C,1961-65,"Framingham , Massachusetts","February 5 , 2007"
42,Donyell Marshall,F,1991-94,"Reading , Pennsylvania","February 5 , 2007"
13,Shabazz Napier,G,2010-14,"Roxbury , Massachusetts","April 8 , 2014"
50,Emeka Okafor,C,2001-04,"Houston , Texas","February 5 , 2007"
13,Worthy Patterson,F,1951-54,"Greenwich , Connecticut","February 15 , 2012"
25,Art Quimby,C,1951-55,"New London , Connecticut","February 5 , 2007"
00,Clifford Robinson,F / C,1985-89,"Buffalo , New York","February 5 , 2007"
13,Chris Smith,G,1988-92,"Bridgeport , Connecticut","February 5 , 2007"
52,Corny Thompson,F,1978-82,"Middletown , Connecticut","February 5 , 2007"
15,Kemba Walker,G,2008-11,"Bronx , New York","April 5 , 2011"
