Year,Western champion,Coach,Result,Eastern champion,Coach
1947,"Chicago Stags ( 1 ) ( 1 , 0-1 )",Harold Olsen,1-4,"Philadelphia Warriors ( 2 ) ( 1 , 1-0 )",Eddie Gottlieb
1948,"Baltimore Bullets ( 2 ) ( 1 , 1-0 )",Buddy Jeannette,4-2,"Philadelphia Warriors ( 1 ) ( 2 , 1-1 )",Eddie Gottlieb
1949,"Minneapolis Lakers ( 2 ) ( 1 , 1-0 )",John Kundla,4-2,"Washington Capitols ( 1 ) ( 1 , 0-1 )",Red Auerbach
1950,"Minneapolis Lakers ( 1 ) ( 2 , 2-0 )",John Kundla,4-2,"Syracuse Nationals ( 1 ) ( 1 , 0-1 )",Al Cervi
1951,"Rochester Royals ( 2 ) ( 1 , 1-0 )",Les Harrison,4-3,"New York Knicks ( 3 ) ( 1 , 0-1 )",Joe Lapchick
1952,"Minneapolis Lakers ( 2 ) ( 3 , 3-0 )",John Kundla,4-3,"New York Knicks ( 3 ) ( 2 , 0-2 )",Joe Lapchick
1953,"Minneapolis Lakers ( 1 ) ( 4 , 4-0 )",John Kundla,4-1,"New York Knicks ( 1 ) ( 3 , 0-3 )",Joe Lapchick
1954,"Minneapolis Lakers ( 1 ) ( 5 , 5-0 )",John Kundla,4-3,"Syracuse Nationals ( 1 ) ( 2 , 0-2 )",Al Cervi
1955,"Fort Wayne Pistons ( 1 ) ( 1 , 0-1 )",Charles Eckman,3-4,"Syracuse Nationals ( 1 ) ( 3 , 1-2 )",Al Cervi
1956,"Fort Wayne Pistons ( 1 ) ( 2 , 0-2 )",Charles Eckman,1-4,"Philadelphia Warriors ( 1 ) ( 3 , 2-1 )",George Senesky
1957,"St. Louis Hawks ( 1 ) ( 1 , 0-1 )",Alex Hannum,3-4,"Boston Celtics ( 1 ) ( 1 , 1-0 )",Red Auerbach
1958,"St. Louis Hawks ( 1 ) ( 2 , 1-1 )",Alex Hannum,4-2,"Boston Celtics ( 1 ) ( 2 , 1-1 )",Red Auerbach
1959,"Minneapolis Lakers ( 2 ) ( 6 , 5-1 )",John Kundla,0-4,"Boston Celtics ( 1 ) ( 3 , 2-1 )",Red Auerbach
1960,"St. Louis Hawks ( 1 ) ( 3 , 1-2 )",Ed Macauley,3-4,"Boston Celtics ( 1 ) ( 4 , 3-1 )",Red Auerbach
1961,"St. Louis Hawks ( 1 ) ( 4 , 1-3 )",Paul Seymour,1-4,"Boston Celtics ( 1 ) ( 5 , 4-1 )",Red Auerbach
1962,"Los Angeles Lakers ( 1 ) ( 7 , 5-2 )",Fred Schaus,3-4,"Boston Celtics ( 1 ) ( 6 , 5-1 )",Red Auerbach
1963,"Los Angeles Lakers ( 1 ) ( 8 , 5-3 )",Fred Schaus,2-4,"Boston Celtics ( 1 ) ( 7 , 6-1 )",Red Auerbach
1964,"San Francisco Warriors ( 1 ) ( 4 , 2-2 )",Alex Hannum,1-4,"Boston Celtics ( 1 ) ( 8 , 7-1 )",Red Auerbach
1965,"Los Angeles Lakers ( 1 ) ( 9 , 5-4 )",Fred Schaus,1-4,"Boston Celtics ( 1 ) ( 9 , 8-1 )",Red Auerbach
1966,"Los Angeles Lakers ( 1 ) ( 10 , 5-5 )",Fred Schaus,3-4,"Boston Celtics ( 2 ) ( 10 , 9-1 )",Red Auerbach
