Episode,Couple 1,Couple 2,Couple 3,Original air date
1,Holly Willoughby with husband Dan,Boris Becker with wife Sharlely,Judith Chalmers with husband Neil Durden-Smith,2 January 2010
2,Jack P. Shepherd with fiancée Lauren,Ice-T with wife Coco Austin,Carol Smillie with husband Alex,9 January 2010
3,Kirsty Gallacher with fiancé Paul Sampson,Michael Buerk with wife Christine,Gary Lineker with wife Danielle Bux,16 January 2010
4,Lynda Bellingham with husband Michael,Jean-Christophe Novelli with fiancée Michelle,Samantha Womack with husband Mark Womack,23 January 2010
5,Beverley Callard with husband Jon,Mikey Graham with wife Karen,Noddy Holder with wife Suzan,30 January 2010
6,Robert Webb with wife Abigail,Andrew Sachs with wife Melody,Anthea Turner with husband Grant Bovey,6 February 2010
7,George Takei with husband Brad,Lucy Pargeter with husband Rudi,Phil Vickery with wife Kate,13 February 2010
8,Barry McGuigan with wife Sandra,Suzi Perry with husband Bastien,Simon Gregson with fiancée Emma,20 February 2010
9,Jenni Falconer with fiancé James,John Higgins with wife Denise,Bobby Ball with wife Yvonne,27 February 2010
10,Gareth Gates with wife Suzanne,Denise Welch with husband Tim Healy,Nicholas Parsons with wife Ann,4 April 2010
