Medal,Name,Sport,Event,Date
Gold,Boglárka Kapás,Swimming,Youth Women 's 200m butterfly,16 Aug
Gold,Eszter Dudás,Triathlon,Mixed Relay ( in mixed-NOC team with Europe 1 ),19 Aug
Gold,Péter Bernek,Swimming,Youth Men 's 200m backstroke,20 Aug
Gold,Bence Biczó,Swimming,Youth Men 's 200m butterfly,20 Aug
Gold,Boglárka Kapás,Swimming,Youth Women 's 400m freestyle,20 Aug
Gold,Ramóna Farkasdi,Canoeing,K1 Head to head Canoe Sprint Women,22 Aug
Gold,Sándor Tótka,Canoeing,K1 Head to head Canoe Sprint Men,22 Aug
Silver,Boglárka Kapás,Swimming,Youth Women 's 200m freestyle,18 Aug
Silver,Zsófia Földházi,Modern pentathlon,Girls ' Individual,21 Aug
Silver,Barbara Batizi,Judo,Girls ' 44kg,21 Aug
Silver,Krisztina Váradi,Athletics,Girls ' Discus throw,21 Aug
Bronze,Dóra Lupkovics,Fencing,Cadet Female Foil,15 Aug
Bronze,Balázs Zámbó,Swimming,Youth Men 's 200m backstroke,20 Aug
Bronze,Tímea Babos,Tennis,Girls ' Doubles ( in mixed-NOC team with BEL ),21 Aug
Bronze,Krisztián Tóth,Judo,Boys ' 81 kg,22 Aug
Bronze,Balázs Töreky,Athletics,Boys ' hammer throw,23 Aug
Bronze,Zoltán Harcsa,Boxing,Men 's Middle 75kg,24 Aug
