Date,Sport,Venue/Event,Status,Winner/s
1-11,Multi-sport,2015 European Masters Games,International,"For results , click here"
2-11,Multi-sport,2015 Military World Games,International,Russia
3-4,Triathlon,Triathlon World Cup # 6,International,Men : Richard Murray Women : Ai Ueda
3-10,Radio-controlled 1:10 off-road,2015 IFMAR 1:10 Electric Off-Road World Championship,International,2WD : Spencer Rivkin ( Team Associated ) 4WD : Bruno Coelho ( XRAY )
3-11,Tennis,2015 China Open,International,Men : Novak Djokovic Women : Garbiñe Muguruza
5-10,Volleyball,2015 Men 's NORCECA Volleyball Championship,Continental,Canada
5-15,Amateur boxing,2015 AIBA World Boxing Championships,International,Cuba
8-11,Golf,2015 Presidents Cup,International,United States
9-18,Volleyball,/ 2015 Men 's European Volleyball Championship,Continental,France
10,Association football,2015 CONCACAF Cup,Continental,Mexico
11,Formula One,2015 Russian Grand Prix,International,Lewis Hamilton ( Mercedes )
11,Marathon,2015 Chicago Marathon ( WMM # 5 ),International,Men : Dickson Chumba Women : Florence Kiplagat
11,Motorcycle racing,2015 Japanese motorcycle Grand Prix,International,MotoGP : Dani Pedrosa ( Repsol Honda Team ) Moto2 : Johann Zarco ( Ajo Motorsport ) Moto3 : Niccolò Antonelli ( Ongetta-Rivacold )
11-18,Tennis,2015 Shanghai Rolex Masters,International,Novak Djokovic
13-18,Amateur wrestling,2015 World Veterans Wrestling Championships,International,"For results , click here"
14-17,Triathlon,2015 ITU Duathlon World Championships,International,Men : Emilio Martín Women : Emma Pallant
14-18,Track cycling,2015 UEC European Track Championships,Continental,Great Britain
16-18,Table tennis,2015 Men 's World Cup,International,Ma Long
17-18,Air racing,Red Bull Air Race World Championship - Las Vegas,International,Master Class : Matt Hall ( Aircraft : MXS-R from MX Aircraft ) Challenger Class : Mikael Brageot ( Aircraft : Extra 330LX from Extra Flugzeugbau )
17-18,Triathlon,Triathlon World Cup # 7,International,Men : João José Pereira Women : Yuliya Yelistratova
