Role,"Opera Comique , 1877","Savoy Theatre , 1884","Savoy Theatre , 1898"
Sir Marmaduke,Richard Temple,Richard Temple,Jones Hewson
Alexis,George Bentham,Durward Lely,Robert Evett
Dr Daly,Rutland Barrington,Rutland Barrington,Henry Lytton
Notary,Fred Clifton,William Lugg,Leonard Russell
J. W. Wells,George Grossmith,George Grossmith,Walter Passmore
Lady Sangazure,Mrs Howard Paul,Rosina Brandram,Rosina Brandram
Aline,Alice May,Leonora Braham,Ruth Vincent
Mrs. Partlet,Harriett Everard,Ada Dorée,Ethel McAlpine
Constance,Giulia Warwick,Jessie Bond,Emmie Owen
Oldest Inhabitant,Frank Thornton,-,-
