Date,Title,Author,Planet/Moon,Notes
1898,War of the Worlds,H. G. Wells,Earth,"When the Martians invade the Earth , they bring with them some red weed .The weed starts to kill off Earth indigenous plant life and multiply rapidly"
1910,« La Journée d'un Parisien au XXI siècle » ( A Day of a Parisian in the 21st Century ),Octave Béliard,Moon,"The Moon is gradually given an atmosphere , and vegetation is acclimated in order to turn the Earth 's satellite into a natural reserve or sanctuary for endangered species , but also to allow human colonization"
1927,The Last Judgment,J . B. S. Haldane,Venus,"An essay that proposes how life on Earth might end and speculates on the evolution of humanity , space exploration and colonization , and adaptation to new environments . Venus is proposed as a new home"
1930,Last and First Men,Olaf Stapledon,Venus,"Following up where Haldane left off , Stapledon 's future history provides the first example in fiction in which Venus is modified , after a long and destructive war with the original inhabitants . Stapledon imagines a native Venus that is covered in oceans"
1950,Farmer in the Sky,Robert A. Heinlein,Ganymede,"A family emigrates from Earth to the Jovian moon Ganymede , which is being terraformed . Farmer in the Sky is a historically significant novel in relation to terraforming in popular culture , as it was one of the first to take the subject more seriously than simple fantasy , portraying terraforming with scientific and mathematical considerations"
1951,The Sands of Mars,Arthur C. Clarke,Mars,"First instance of Martian terraforming . Clarkes fictional methods for terraforming the planet include generating heat by igniting Phobos into a second sun , and growing plants that break down the Martian sands in order to release oxygen"
1952,The Martian Way,Isaac Asimov,Mars,Terraforming of Mars using ice from Saturn 's rings
1954,The Big Rain,Poul Anderson,Venus,"Terraforming Venus . Anderson considers the great time scale inherent in planetary engineering and its effects upon society . Later , the title ( big rain ) became associated with scientific terraforming models"
1958,The Snows of Ganymede,Poul Anderson,Ganymede,Terraforming of Ganymede
1969,Isle of the Dead,Roger Zelazny,Illyria,Francis Sandow is the last surviving human born in the 20th century who becomes a worldscaper - a terraformer with godlike powers
1961,Second Ending,James White,Fomalhaut IV,"Fomalhaut , the fourth planet was secretly terraformed by robots over millions of years"
1984,Greening of Mars,James Lovelock Michael Allaby,Mars,"One of the most influential science fiction novels on the actual science of terraforming . The novel explores the formation and evolution of planets , the origin of life , and Earth 's biosphere . Spacecraft are illustrated in a realistic manner , and terraforming models in the book foreshadowed future debates regarding the goals of terraforming"
1986-1988,Venus of Dreams Venus of Shadows,Pamela Sargent,Venus,Terraforming of Venus
1992,Mining the Oort,Frederik Pohl,Mars,Terraforming by diverting comets from the Oort cloud to Mars
1992-1999,Mars Trilogy,Kim Stanley Robinson,Mars,"Three novels ( plus one collection of short stories ) provide a lengthy description of terraforming Mars spanning centuries . The novels represent contemporary scientific and philosophical developments in the field , and also pay homage to the already existing fictional literature related to Mars"
2011,Terra Formars ( テラフォーマーズ ),written by Yū Sasuga illustrated by Kenichi Tachibana,Mars,"In an attempt to colonize Mars , 21st century scientists were tasked with warming up the planet so that humans could survive on its surface"
2012,2312,Kim Stanley Robinson,Much of the Solar System,"A novel set one century after the future timeline of the Mars Trilogy , centred on a pair of characters born on Mercury and Titan . Many elements of the novel deal with living in space and the colonisation of moons and asteroids throughout the solar system , but one important subplot centres on the ongoing terraforming of Venus"
