Year,Recipients,Program,Role,Network
1984,Deidre Hall,Days of Our Lives,Marlena Evans,NBC
1985,Deidre Hall,Days of Our Lives,Marlena Evans,NBC
1986,Patsy Pease,Days of Our Lives,Kimberly Brady,NBC
1988,Kim Zimmer,Guiding Light,Reva Shayne,CBS
1989,Jeanne Cooper,The Young and the Restless,Katherine Chancellor,CBS
1990,Marcy Walker,Santa Barbara,Eden Capwell,NBC
1991,Finola Hughes,General Hospital,Anna Devane,ABC
1992,Anne Heche,Another World,Marley Hudson / Vicky Hudson,NBC
1993,Susan Lucci,All My Children,Erica Kane,ABC
1994,Jess Walton,The Young and the Restless,Jill Abbott,CBS
1995,Deidre Hall,Days of Our Lives,Marlena Evans,NBC
1996,Robin Strasser,One Life to Live,Dorian Lord,ABC
1997,Genie Francis,General Hospital,Laura Spencer,ABC
1998,Vanessa Marcil,General Hospital,Brenda Barrett,ABC
1999,Lynn Herring,Port Charles,Lucy Coe,ABC
2000,Kim Zimmer,Guiding Light,Reva Shayne,CBS
2001,Melody Thomas Scott,The Young and the Restless,Nikki Newman,CBS
2003,Michelle Stafford,The Young and the Restless,Phyllis Summers Abbott,CBS
2005,Tamara Braun,General Hospital,Carly Corinthos,ABC
