Year,Title,Role
2005,Coach Carter,Jason Lyle
2005,Havoc,Nick
2005,Supercross,Rowdy Sparks
2005,War of the Worlds,Boy in church
2006,She 's the Man,Duke Orsino
2006,Step Up,Tyler Gage
2006,A Guide to Recognizing Your Saints,Young Antonio
2007,The Trap,Greg
2007,Battle in Seattle,Johnson
2008,Step Up 2 : The Streets,Tyler Gage
2008,Stop-Loss,Steve Shriver
2009,Fighting,Shawn MacArthur
2009,Public Enemies,Pretty Boy Floyd
2009,G.I . Joe : The Rise of Cobra,Conrad S. Hauser / Duke
2010,Dear John,John Tyree
2011,The Dilemma,Zip
2011,The Son of No One,Jonathan Milk White
2011,The Eagle,Marcus Flavius Aquila
2011,10 Years,Jake Bills
2011,Haywire,Aaron
