Church name,Location,Rebuilt,Date of demolition,Subsuming parish
All Hallows Bread Street,Bread Street,1681-98,1878,St Mary-le-Bow
All Hallows Lombard Street,Lombard Street,1686-94,1939,St Edmund the King and Martyr
All-Hallows-the-Great,Upper Thames Street,1677-84,1894,St. Michael Paternoster Royal
Holy Trinity Gough Square,Great New Street,1838,1906,St Bride 's Church
St Alphage London Wall,London Wall,1774-77,1923,St Mary Aldermanbury
"St Antholin , Budge Row",Watling Street,1678-84,1875,St Mary Aldermary
St Bartholomew-by-the-Exchange,Bartholomew Lane,1675-83,1840,St Margaret Lothbury
St Benet Fink,Threadneedle Street,1670-75,1846,St Peter le Poer
St Benet Gracechurch,Gracechurch Street,1681-87,1868,All Hallows Lombard Street
St Christopher le Stocks,Threadneedle Street,1670-71,1782,St Margaret Lothbury
St Dionis Backchurch,Fenchurch Street,1670-77,1878,All Hallows Lombard Street
St George Botolph Lane,Botolph Lane,1671-76,1904,St Mary-at-Hill
St James Duke 's Place,Mitre Square,1727,1874,St Katharine Cree
St Katherine Coleman,Church Row,1740,1926,St Olave Hart Street
St Martin Outwich,Threadneedle Street,1798,1874,St Helen 's Bishopsgate
St Mary Aldermanbury,Aldermanbury,1670-74,1940/1964,St Giles Cripplegate
St Mary Magdalen Old Fish Street,Old Change,1683-87,1893,"St Martin , Ludgate"
St Matthew Friday Street,Friday Street,1682-85,1885,St Vedast alias Foster
St Michael Bassishaw,Basinghall Street,1675-79,1900,St Lawrence Jewry
"St Michael , Crooked Lane",Miles 's Lane,1687,1831,St Magnus the Martyr
