,Name on the Register,Date listed,Location,City or town
1,Crystal River Indian Mounds,"September 29 , 1970 ( # 70000178 )",2 miles northwest of Crystal River on U.S . Routes 19 / 98 28°55′01″N 82°36′33″W / 28.916944°N 82.609167°W / 28.916944 ; -82.609167 ( Crystal River Indian Mounds ),Crystal River
2,Crystal River Old City Hall,"May 29 , 1998 ( # 98000588 )",532 North Citrus Avenue 28°53′55″N 82°35′36″W / 28.898611°N 82.593333°W / 28.898611 ; -82.593333 ( Crystal River Old City Hall ),Crystal River
3,Etna Turpentine Camp Archeological Site,"December 10 , 2009 ( # 09001055 )",Address Restricted,Inverness vicinity
4,Floral City Historic District,"December 1 , 1993 ( # 93001357 )",Roughly Orange Avenue from South Old Floral City Road to South Annie Terrace and South Aroostook Way from Orange to Lake Tsala Apopka 28°45′02″N 82°17′27″W / 28.750556°N 82.290833°W / 28.750556 ; -82.290833 ( Floral City Historic District ),Floral City
5,Fort Cooper,"June 13 , 1972 ( # 72000304 )",Address Restricted 28°48′36″N 82°18′19″W / 28.81°N 82.305278°W / 28.81 ; -82.305278 ( Fort Cooper ),Inverness
6,"Masonic Temple of Citrus Lodge No . 18 , F. and A.M","June 23 , 2010 ( # 10000387 )","111 West Main St 28°50′09″N 82°19′53″W / 28.835833°N 82.331389°W / 28.835833 ; -82.331389 ( Masonic Temple of Citrus Lodge No . 18 , F. and A.M . )",Inverness
7,Mullet Key,"July 3 , 1986 ( # 86001409 )","In Crystal Bay , within Crystal River Preserve State Park 28°52′52″N 82°41′32″W / 28.8811°N 82.6922°W / 28.8811 ; -82.6922 ( Mullet Key )",Crystal River
8,Old Citrus County Courthouse,"April 17 , 1992 ( # 92000340 )",1 Courthouse Square 28°50′08″N 82°19′49″W / 28.835556°N 82.330278°W / 28.835556 ; -82.330278 ( Old Citrus County Courthouse ),Inverness
9,Old Hernando Elementary School,"May 4 , 2001 ( # 00001129 )",2435 North Florida Avenue 28°53′53″N 82°22′22″W / 28.898056°N 82.372778°W / 28.898056 ; -82.372778 ( Old Hernando Elementary School ),Hernando
10,Yulee Sugar Mill Ruins,"August 12 , 1970 ( # 70000179 )",State Road 490 west of U.S. Route 19 28°47′01″N 82°36′28″W / 28.783611°N 82.607778°W / 28.783611 ; -82.607778 ( Yulee Sugar Mill Ruins ),Homosassa
