,Country,Airport name,IATA / ICAO Code,City served,Passengers
1,Panama,Tocumen International Airport,PTY/MPTO,Panamá City,"6,531,927"
2,Costa Rica,Juan Santamaría International Airport,SJO/MROC,San José,"3,730,187"
3,El Salvador,Comalapa International Airport,SAL/MSLP,San Salvador,"2,076,258"
4,Guatemala,La Aurora International Airport,GUA/MGGT,Guatemala City,"1,948,662"
5,Nicaragua,Augusto C. Sandino International Airport,MGA/MNMG,Managua,"1,089,992"
6,Honduras,Ramón Villeda Morales International Airport,SAP/MHLM,San Pedro Sula,"742,000"
7,Honduras,Toncontín International Airport,TGU/MHTG,Tegucigalpa,"565,000"
8,Belize,Philip S. W. Goldson International Airport,BZE/MZBZ,Belize City,"450,000"
9,Costa Rica,Daniel Oduber International Airport,LIR/MRLB,Liberia,"376,858"
10,Panama,Albrook International Airport,PAC/MPMG,Panamá City,"269,002"
11,Panama,Enrique Malek International Airport,DAV/MPDA,David,"122,940"
12,Guatemala,Mundo Maya International Airport,FRS/MGTK,Flores / Tikal,"111,893"
13,Costa Rica,Tobías Bolaños International Airport,SYQ/MRPV,San José,"104,343"
14,Panama,Bocas del Toro International Airport,BOC/MPBO,Bocas / Isla Colón,"63,325"
15,Honduras,Juan Manuel Galvez International Airport,RTB/MHRO,Roatan,"60,150"
