Name,Year/Degree,Notability
Ernesto Arceo,"S.T.L . , M.Phil . , PhD",Rector Magnificus of University of Santo Tomas 2006-2007
Antonieto Cabajog,"A.B . , Ph.B . , Ph.L. , S.T.B . 1977 , J.C.L . 1981","Professor of canon law 1991-1994 , current Bishop of Surigao"
Jose Tomas Sanchez,S.Th.D,"Cardinal , Archbishop of Nueva Segovia"
Regino Cortez,"Ph.L. , S.T.L . 1966","Professor of Sacred Scriptures , Dean of Institute of Religion from 1974-1978 , Rector Magnificus of Colegio de San Juan de Letran 1980-1986 , Regent of College of Fine Arts and Design 2001-2006"
Oscar Cruz,"H.S . 1950 , Ph.L . 1958","Current Archbishop-Emeritus of the Roman Catholic Church in the Philippines , Archbishop of Lingayen-Dagupan 1991-2009"
Pedro Dean,"Ph.B . 1952 , Ph.L . 1953 , S.T.B . 1954 , S.T.L . 1956",Archbishop of Palo 1985-2006
Rolando dela Rosa,[ Ph.D/S.T.D ],"Rector Magnificus of University of Santo Tomas 1990-1998/2007-2012 , Professor of theology , Chairman of Commission on Higher Education 2004"
Zeferino González,1848,"Professor of theology and philosophy , first director of UST Museum of Arts and Sciences , Archbishop of Seville 1883-1885 , Archbishop of Toledo 1885-1886"
Onesimo Gordoncillo,1961,Current archbishop of Capiz
Deogracias Iñiguez,BSEd 1968,First Bishop of Caloocan ( now Bishop-emeritus )
Tamerlane Lana,"S.T.B . 1979 S.T.L . , M.A . 1981 S.T.D 1996","Current Rector Magnificus of Colegio de San Juan de Letran , Rector Magnificus of University of Santo Tomas 1998-2006"
Leonardo Legaspi,S.T.L . 1961 S.T.D 1962,"First Filipino Rector Magnificus of University of Santo Tomas 1971-1977 , Archbishop of Nueva Caceres 1984-2012 , and first Vicar of the Dominican Province of the Philippines"
Raul Martirez,S.T.B . 1960,Bishop-Emeritus of San Jose de Antique 1983-2002
Nicholas Mondejar,"Ph.L. , S.T.L . 1947",Bishop-Emeritus of San Carlos 1987-2001
Edmund Nantes,( no year indicated ),Former Prior Provincial of the Dominican Province of the Philippines
Miguel Purugganan,"Ph.B . , Ph.L 1953",Bishop of Ilagan 1974-1999
Salvador Quizon,S.T.L . 1949,Former Auxiliary Archbishop of Lipa
"José Rojas , Jr",S.T.B . 1980 S.T.L . 1982,Current Bishop of Libmanan
José Salazar,S.T.L,"Parish priest , Auxiliary Bishop of Butuan 2002 , Auxiliary Bishop of Lipa 2003"
Ernesto Salgado,S.T.L . 1962,"Current Archbishop of Nueva Segovia , Bishop of Laoag 2000-2005"
