,Country,Airport name,IATA / ICAO Code,City served,Passengers
1,Panama,Tocumen International Airport,PTY/MPTO,Panamá City,"13,434,673"
2,Costa Rica,Juan Santamaría International Airport,SJO/MROC,San José,"4,494,875"
3,El Salvador,Comalapa International Airport,SAL/MSLP,San Salvador,"2,725,458"
4,Guatemala,La Aurora International Airport,GUA/MGGT,Guatemala City,"2,323,360"
5,Nicaragua,Augusto C. Sandino International Airport,MGA/MNMG,Managua,"1,499,756"
6,Honduras,Ramón Villeda Morales International Airport,SAP/MHLM,San Pedro Sula,"881,199"
7,Costa Rica,Daniel Oduber International Airport,LIR/MRLB,Liberia,"878,365"
8,Belize,Philip S. W. Goldson International Airport,BZE/MZBZ,Belize City,"613,399"
9,Honduras,Toncontín International Airport,TGU/MHTG,Tegucigalpa,"603,486"
10,Honduras,Juan Manuel Gálvez International Airport,RTB/MHRO,Roatán,"286,738"
11,Panama,Enrique Malek International Airport,DAV/MPDA,David,"260,603"
12,Panama,Albrook International Airport,PAC/MPMG,Panamá City,"228,722"
13,Honduras,Golosón International Airport,LCE/MHLC,La Ceiba,"133,768"
14,Panama,Panamá Pacífico International Airport,BLB/MPHO,Panamá City,"132,205"
15,Guatemala,Mundo Maya International Airport,FRS/MGTK,Flores / Tikal,"109,490"
16,Panama,Bocas del Toro International Airport,BOC/MPBO,Bocas / Isla Colón,"80,378"
17,Nicaragua,Bluefields Airport,BEF/MNBL,Bluefields,"63,200"
18,Nicaragua,Corn Island Airport,RNI/MNCI,Corn Islands,"62,200"
19,Nicaragua,Puerto Cabezas Airport,PUZ/MNPC,Puerto Cabezas,"40,100"
20,Costa Rica,Tambor Airport,TMU/MRTR,Tambor,"38,699"
