Medal,Name,Sport,Event,Date
Gold,Armin Zöggeler,Luge,Men 's singles,12 February
Gold,Matteo Anesi Stefano Donagrandi Enrico Fabris Ippolito Sanfratello,Speed skating,Men 's team pursuit,16 February
Gold,Fulvio Valbusa Giorgio Di Centa Pietro Piller Cottrer Cristian Zorzi,Cross-country skiing,Men 's 4 x 10 km relay,19 February
Gold,Enrico Fabris,Speed skating,Men 's 1500 m,21 February
Gold,Giorgio Di Centa,Cross-country skiing,Men 's 50 km freestyle,26 February
Bronze,Enrico Fabris,Speed skating,Men 's 5000 m,11 February
Bronze,Pietro Piller Cottrer,Cross-country skiing,Men 's 30 km pursuit,12 February
Bronze,Gerhard Plankensteiner Oswald Haselrieder,Luge,Doubles,15 February
Bronze,Arianna Follis Gabriella Paruzzi Antonella Confortola Sabina Valbusa,Cross-country skiing,Women 's 4 x 5 km relay,18 February
Bronze,Gerda Weissensteiner Jennifer Isacco,Bobsleigh,Two-woman,21 February
Bronze,Marta Capurso Mara Zini Arianna Fontana Katia Zini,Short track speed skating,Women 's 3000 m relay,22 February
