Rank,Name,Net worth ( USD ),Citizenship,Sources of wealth
1,Xu Jiayin ( Hui Ka Yan ),42.5 billion,China,real estate
2,Ma Huateng,39 billion,China,internet media
3,Jack Ma,38.6 billion,China,e-commerce
4,Wang Jianlin,25.2 billion,China,real estate
5,Wang Wei,22.3 billion,China,package delivery
6,Yang Huiyan,20.7 billion,China,real estate
7,He Xiangjian,18.7 billion,China,home appliances
8,Robin Li,17.1 billion,China,internet search
9,William Ding,16.9 billion,China,online games
10,Li Shufu,16.5 billion,China,automobiles
11,Wang Wenyin,13.5 billion,China,"mining , copper products"
12,Zhang Zhidong,13.4 billion,China,internet media
13,Zhou Qunfei,10.6 billion,China,smartphone screens
14,Sun Hongbin,10.4 billion,China,real estate
15,Gong Hongjia,10.3 billion,China,investments
16,Guo Guangchang,10 billion,China,conglomerate
17,Xu Shihui,9.5 billion,China,"snacks , beverages"
18,Liu Qiangdong,9.4 billion,China,e-commerce
19,Pan Zhengmin,9.3 billion,China,electronics
20,Zong Qinghou,9.1 billion,China,beverages
