Name,Nationality,Position,Years in La Fábrica,Club Titles Won as Real Madrid player
Achraf Hakimi,Morocco,DF,2006-2017,"1 UEFA Champions League , 1 FIFA Club World Cup"
Agustín,Spain,GK,1975-1980,"4 La Liga , 2 Copa del Rey , 2 Supercopa de España , 1 Copa de la Liga , 1 UEFA Cup"
Alberto Rivera,Spain,MF,1995-1999,2 La Liga
Alfonso Pérez,Spain,FW,1986-1992,"1 La Liga , 1 Copa del Rey , 1 Supercopa de España"
Álvaro Arbeloa,Spain,DF,2001-2006,"1 La Liga , 2 Copa del Rey , 1 Supercopa de España , 2 UEFA Champions League , 1 UEFA Super Cup , 1 FIFA Club World Cup"
Álvaro Domínguez,Spain,DF,1999-2001,
Álvaro Medrán,Spain,MF,2011-2015,1 FIFA Club World Cup
Álvaro Mejía,Spain,DF,1998-2004,1 La Liga
Álvaro Morata,Spain,FW,2008-2013,"2 La Liga , 2 Copa del Rey , 2 UEFA Champions League , 1 UEFA Super Cup , 1 FIFA Club World Cup"
Antonio Adán,Spain,GK,1997-2010,"1 La Liga , 1 Copa del Rey , 1 Supercopa de España"
Borja Mayoral,Spain,FW,2007-2016,"1 UEFA Champions League , 1 UEFA Super Cup , 1 FIFA Club World Cup"
Borja Valero,Spain,MF,1995-2007,
Chendo,Spain,DF,1977-1983,"7 La Liga , 2 Copa del Rey , 5 Supercopa de España , 1 Copa de la Liga , 1 UEFA Champions League , 2 UEFA Cup , 1 Copa Iberoamericana"
Dani Carvajal,Spain,DF,2002-2012,"1 La Liga , 1 Copa del Rey , 1 Supercopa de España , 4 UEFA Champions League , 3 UEFA Super Cup , 3 FIFA Club World Cup"
Dani Parejo,Spain,MF,2003-2008,
Denis Cheryshev,Russia,FW,2002-2013,
Diego Llorente,Spain,DF,2002-2015,
Diego López,Spain,GK,2000-2005,"1 La Liga , 1 Copa del Rey , 1 UEFA Champions League"
Emilio Butragueño,Spain,FW,1981-1984,"6 La Liga , 2 Copa del Rey , 4 Supercopa de España , 1 Copa de la Liga , 2 UEFA Cup , 1 Copa Iberoamericana"
Enrique Mateos,Spain,FW,1951-1953,"5 La Liga , 5 UEFA Champions League , 1 Intercontinental Cup"
