Date,Race,Location,Winner
2004-02-01,Trofeo Mallorca,Spain,Allan Davis
2004-02-04,Trofeo Manacor,Spain,Allan Davis
2004-05-02,"Overall , Vuelta a Castilla y León",Spain,Koldo Gil
2004-05-09,"Stage 3 , Clasica a Alcobendas",Spain,Luis Leon Sanchez
2004-05-12,"Stage 1 , Vuelta a Asturias",Spain,Luis Leon Sanchez
2004-05-14,"Stage 3 , Vuelta a Asturias",Spain,Carlos Barredo
2004-06-04,"Stage 5 , Deutschland Tour",Germany,Allan Davis
2004-06-04,"Stage 3 , Euskal Bizikleta",Spain,Angel Vicioso
2004-06-05,"Stage 4b , Euskal Bizikleta",Spain,Angel Vicioso
2004-06-06,"Overall , Euskal Bizikleta",Spain,Roberto Heras
2004-09-08,"Stage 3 , Tour de Pologne",Poland,Allan Davis
2004-09-16,"Stage 12 , Vuelta a España",Spain,Roberto Heras
2004-09-26,"Overall , Vuelta a España",Spain,Roberto Heras
2004-10-13,Milano-Torino,Italy,Marcos Serrano
2004-10-14,Giro del Piemonte,Italy,Allan Davis
