Edition,Year,Location,International Trophy,Silver Vase,Note
1,1913,"Carlisle , United Kingdom",United Kingdom W. B. Gibb W. B . Little Charlie Collier,Not awarded,- First USA Entrant T.K . Teddy Hastings
ND,1914,"Grenoble , France",-,-,The Second edition was abandoned as a result of the outbreak of World War I
2,1920,"Grenoble , France",Switzerland J. Morand A. Robert Eduard Gex,Not awarded,-
3,1921,"Geneva , Switzerland",Switzerland J. Morand A. Rothenbach Eduard Gex,Not awarded,-
4,1922,"Geneva , Switzerland",Switzerland J. Morand A. Robert Eduard Gex,not awarded,-
5,1923,"Stockholm , Sweden",Sweden Gustav Göthe Yngve Eriksson Bernhard Malmberg J A Bylund,Not awarded,-
6,1924,"Chaudfontaine , Belgium",United Kingdom G. S. Arter C. Wilson F. W. Giles,Norway C. Vaumund O. Graff J. Juberget,Silver Vase Award introduced
7,1925,"Southampton , United Kingdom",United Kingdom Bert Kershaw G. S. Arter F. W. Giles,United Kingdom Bert Kershaw G. S. Arter F. W. Giles,The Australian Vase team was 3rd in that competition
8,1926,"Buxton , United Kingdom",United Kingdom Graham Walker J. Lidstone P. Pike,United Kingdom Graham Walker J. Lidstone P. Pike,This was the first year a Ladies only team entered in the Vase contest and they were 3rd
9,1927,"Ambleside , United Kingdom",United Kingdom L. Crisp Graham Walker F. W. Giles,United Kingdom Marjorie Cottle Edyth Foley Louise MacLean,This is the only year the Silver Vase award was won by a Women 's team
10,1928,"Harrogate , United Kingdom",United Kingdom V. C. King F. W. Neill H. G. Uzzell,United Kingdom L. Crisp Graham Walker F. W. Giles,-
11,1929,"Munich , Germany - Geneva , Switzerland",United Kingdom G. R. Butcher George Rowley F. W. Neill,United Kingdom L. A. Welch A. R. Edwards H. S. Perrey,-
12,1930,"Grenoble , France",Italy Rosolino Grana Luigi Gilera Miro Maffeis,France A. Sourdot R. Debaissieux N. Coulon,-
13,1931,"Merano , Italy",Italy Rosolino Grana Luigi Gilera Miro Maffeis,Netherlands D. H. Eysink G. Bakker-Schut A.P . van Hammersveld,-
14,1932,"Merano , Italy",United Kingdom Albert E. Perrigo George Rowley N. P. O. Bradley,United Kingdom Graham Walker Jack Williams R. MacGregor,-
15,1933,"Llandrindod Wells , Wales",Nazi Germany Ernst Jakob Henne Josef Stelzer Josef Mauermayer Wiggerl Kraus,United Kingdom Vic Brittain Jack Williams G. F. Povey,-
16,1934,"Garmisch-Partenkirchen , Germany",Nazi Germany Ernst Jakob Henne Josef Stelzer Josef Mauermayer Wiggerl Kraus,United Kingdom F.E . Thacker R. MacGregor L. Heath G. A. Wolsey,-
17,1935,"Oberstdorf , Germany",Nazi Germany Ernst Jakob Henne Josef Stelzer Wiggerl Kraus J. Müller,Nazi Germany Arthur Geiss Walfried Winkler Ewald Kluge,-
18,1936,"Freudenstadt , Germany",United Kingdom Vic Brittain George Rowley W.S . Waycott E. Belsten,United Kingdom R. MacGregor J.A.McL . Leslie J.C. Edward,-
19,1937,"Llandrindod Wells , Wales",United Kingdom Vic Brittain George Rowley W.S . Waycott Gordon Wolsey,Netherlands A.P . van Hammersveld G. Bakker-Schut J. Moejes,-
