Stadium,Club ( s ),City,Capacity,Opened
Audi Field,Washington Spirit,"Washington , D.C","20,000",2018
BBVA Stadium,Houston Dash,"Houston , Texas","22,039",2012
Exploria Stadium,Orlando Pride,"Orlando , Florida","25,500",2017
Maryland SoccerPlex,Washington Spirit,"Boyds , Maryland","4,000",2000
Providence Park,Portland Thorns FC,"Portland , Oregon","25,218",2011
Red Bull Arena,Sky Blue FC,"Harrison , New Jersey","25,000",2010
Rio Tinto Stadium,Utah Royals FC,"Sandy , Utah","20,213",2008
SeatGeek Stadium,Chicago Red Stars,"Bridgeview , Illinois","20,000",2006
Segra Field,Washington Spirit,"Leesburg , Virginia","5,000",2019
WakeMed Soccer Park,North Carolina Courage,"Cary , North Carolina","10,000",2002
