Name,Established,City,University,Type
Anugrah Narayan Magadh Medical College and Hospital,1969,Gaya,Aryabhatta Knowledge University,Government
"All India Institute of Medical Sciences , Patna",2012,Patna,Autonomous,Public
Darbhanga Medical College and Hospital,1946,Darbhanga,Lalit Narayan Mithila University,Government
"Government Medical College , Bettiah",2008,Bettiah,Aryabhatta Knowledge University,Government
Indira Gandhi Institute of Medical Sciences,1983,Patna,Autonomous,Public
Jawaharlal Nehru Medical College and Hospital,1970,Bhagalpur,Aryabhatta Knowledge University,Government
Katihar Medical College and Hospital,1987,Katihar,Al-Karim University,Private
Lord Buddha Koshi Medical College and Hospital,2012,Saharsa,Bhupendra Narayan Mandal University,Private
Patna Medical College and Hospital,1925,Patna,Aryabhatta Knowledge University,Government
Nalanda Medical College Hospital,1970,Patna,Magadh University,Government
Narayan Medical College and Hospital,2008,Sasaram,Veer Kunwar Singh University,Private
Rajendra Memorial Research Institute of Medical Sciences,1963,Patna,"Tilka Manjhi Bhagalpur University , Calcutta University",Government
Sri Krishna Medical College and Hospital,1970,Muzaffarpur,Aryabhatta Knowledge University,Government
Vardhman Institute of Medical Sciences,2013,Pawapuri,Aryabhatta Knowledge University,Government
