District,Senator,Party,Residence,First elected
2,Randi Becker,Republican,Eatonville,2008
4,Mike Padden,Republican,Spokane Valley,2011†
6,Michael Baumgartner,Republican,Spokane,2010
7,Brian Dansel,Republican,Republic,2013†
8,Sharon Brown,Republican,Kennewick,2013*
9,Mark Schoesler,Republican,Ritzville,2004
10,Barbara Bailey,Republican,Oak Harbor,2012
12,Linda Evans Parlette,Republican,Wenatchee,2000
13,Judy Warnick,Republican,Moses Lake,2014
14,Curtis King,Republican,Yakima,2007†
15,Jim Honeyford,Republican,Sunnyside,1998
16,Mike Hewitt,Republican,Walla Walla,2000
17,Don Benton,Republican,Vancouver,1996
18,Ann Rivers,Republican,La Center,2012
20,John Braun,Republican,Centralia,2012
25,Bruce Dammeier,Republican,Puyallup,2012
26,Jan Angel,Republican,Port Orchard,2013†
28,Steve O'Ban,Republican,Tacoma,2013*
30,Mark Miloscia,Republican,Federal Way,2014
31,Pam Roach,Republican,Sumner,1990
