Designer,Age,Hometown,Place of Residence,Place Finished
Beatrice Guapo,29,"Orange County , California","Marina Del Rey , California",16th
Lantie Foster,48,"Sacramento , California","New York City , New York",15th
Andrea Katz,58,"Oceanside , New York","New York City , New York",14th ( Quit )
Kooan Kosuke,30,"Himeji , Hyōgo , Japan","Queens , New York",13th ( Quit )
Buffi Jashanmal,32,"Dubai , United Arab Emirates","New York City , New York",12th
Raul Osorio,27,"Canoga Park , California","Minneapolis , Minnesota",11th ( Originally 14th )
Nathan Paul,33,"Zanesville , Ohio","New York City , New York",10th
Alicia Hardesty,27,"Brandenburg , Kentucky","Los Angeles , California",9th
Gunnar Deatherage,22,"Hanover , Indiana","Louisville , Kentucky",8th
Ven Budhu,28,"Berbice , Guyana","Kew Gardens , Queens , New York",7th
Elena Slivnyak,28,"Kiev , Ukraine","Daly City , California",6th
Sonjia Williams,27,"Boston , Massachusetts","Woodside , Queens , New York",5th
Christopher Palu,24,"Brooklyn , New York","Massapequa , New York",4th
Melissa Fleis,31,"Rogers City , Michigan","San Francisco , California",3rd
Fabio Costa,29,"Belo Horizonte , Brazil","Brooklyn , New York",Runner-up
Dmitry Sholokhov,32,"Navapolatsk , Belarus","New York City , New York",Winner
