Year,Title,Role
2001,A calzón quita ' o,El Chami Novio
2002,Trapos íntimos,Juancho Febres
2002,Hoy,Himself
2003,La Invasora,Enrique Cárdenas
2005,Mujer con pantalones,Vladimir Torrealba Galué
2006,Por todo lo alto,Humberto Luzardo
2006,Te tengo en salsa,César Román Perroni Montiel
2008,Torrente,Juan Juancho Gabaldón Leal
2009,Los misterios del amor,Octavio
2010,La mujer perfecta,Larry Corona
2012,Válgame Dios,Ignacio Nacho Castillo
2013-14,Santa Diabla,Arturo Santana
2015,Escándalos,Aureliano Mendoza / Ángelo
2018,Mi familia perfecta,Felipe
