Medal,Name,Sport,Event
Gold,Frithiof Mårtensson,Wrestling ( Greco-Roman ),Men 's middleweight
Gold,Swedish men 's team,Gymnastics,Men 's team
Gold,Hjalmar Johansson,Diving,Men 's 10 m platform
Gold,Ulrich Salchow,Figure skating,Men 's singles
Gold,Oscar Swahn,Shooting,Men 's single-shot running deer
Gold,Arvid Knöppel Ernst Rosell Alfred Swahn Oscar Swahn,Shooting,Men 's team single-shot running deer
Gold,Eric Lemming,Athletics,Men 's javelin throw
Gold,Eric Lemming,Athletics,Men 's freestyle javelin
Silver,Mauritz Andersson,Wrestling ( Greco-Roman ),Men 's middleweight
Silver,Karl Malmström,Diving,Men 's 10 m platform
Silver,Richard Johansson,Figure skating,Men 's singles
Silver,Carl Hellström Edmund Thormählen Erik Wallerius Eric Sandberg Harald Wallin,Sailing,Men 's 8 metre class
Silver,Per-Olof Arvidsson Janne Gustafsson Axel Jansson Gustaf Adolf Jonsson Claës Rundberg Gustav-Adolf Sjöberg,Shooting,Men 's team free rifle
Silver,Eric Carlberg Vilhelm Carlberg Johan Hübner von Holst Franz-Albert Schartau,Shooting,Men 's team small-bore rifle
Bronze,Robert Andersson Erik Bergvall Pontus Hanson Harald Julin Torsten Kumfeldt Axel Runström Gunnar Wennerström,Water polo,Men 's competitionGD
Bronze,Märtha Adlerstråhle,Tennis,Women 's indoor singles
Bronze,Wollmar Boström Gunnar Setterwall,Tennis,Men 's indoor doubles
Bronze,Harald Julin,Swimming,Men 's 100 m freestyle
Bronze,Pontus Hanson,Swimming,Men 's 200 m breaststroke
Bronze,Arvid Spångberg,Diving,Men 's 10 m platform
