Church,Dates,Location,"City , State",Description
St. Matthew 's Church,"1929 built , 1979 NRPH-listed","Dexter & W. Hunt Sts . 41°53′21″N 71°24′7″W / 41.88917°N 71.40194°W / 41.88917 ; -71.40194 ( St. Matthew 's Church ( Central Falls , Rhode Island ) )","Central Falls , Rhode Island",Gothic Revival
St. Mary 's Church,"1845 built , 1978 NRPH-listed","Church St. 41°41′12″N 71°31′8″W / 41.68667°N 71.51889°W / 41.68667 ; -71.51889 ( St. Mary 's Church ( Crompton , Rhode Island ) )","Crompton , Rhode Island","Gothic Revival , Celtic"
St. Joseph 's Church,"1872 built , 1982 NRPH-listed","1303-1317 Mendon Rd . 41°56′3″N 71°25′40″W / 41.93417°N 71.42778°W / 41.93417 ; -71.42778 ( St. Joseph 's Church Complex ( Cumberland , Rhode Island ) )","Cumberland , Rhode Island",Gothic Revival
St. Mary 's Church,"1848 built , 2008 NRPH-listed","14 William St. 41°29′2″N 71°18′45″W / 41.48389°N 71.31250°W / 41.48389 ; -71.31250 ( St. Mary 's Church ( Newport , Rhode Island ) )","Newport , Rhode Island",Gothic Revival
St. John the Baptist Church,"1925 built , 1983 NRPH-listed","68 Slater 41°52′24″N 71°23′52″W / 41.87333°N 71.39778°W / 41.87333 ; -71.39778 ( St. John the Baptist Church ( Pawtucket , Rhode Island ) )","Pawtucket , Rhode Island",Renaissance Revival
St. Mary 's Church of the Immaculate Conception,"1828 built , 1983 NRPH-listed","103 Pine St. 41°52′18″N 71°23′22″W / 41.87167°N 71.38944°W / 41.87167 ; -71.38944 ( St. Mary 's Church of the Immaculate Conception Complex ( Pawtucket , Rhode Island ) )","Pawtucket , Rhode Island",Gothic Revival
Cathedral of Saints Peter and Paul,"1878 built , 1975 NRPH-listed","30 Fenner St. 41°49′9″N 71°25′1″W / 41.81917°N 71.41694°W / 41.81917 ; -71.41694 ( Cathedral of Saints Peter and Paul ( Providence , Rhode Island ) )","Providence , Rhode Island",Romanesque/Gothic Revival
Our Lady of Lourdes Church,"1905 built , 1990 NRPH-listed","901-903 Atwells Ave. 41°49′32″N 71°26′52″W / 41.82556°N 71.44778°W / 41.82556 ; -71.44778 ( Our Lady of Lourdes Church Complex ( Providence , Rhode Island ) )","Providence , Rhode Island",Romanesque Revival
St. Joseph 's Church,"1851 built , 1974 NRPH-listed","86 Hope St. 41°49′17″N 71°23′50″W / 41.82139°N 71.39722°W / 41.82139 ; -71.39722 ( St. Joseph 's Roman Catholic Church ( Providence , Rhode Island ) )","Providence , Rhode Island",Gothic Revival
St. Michael 's Church,"1915 built , 1977 NRPH-listed","251 Oxford St. 41°48′06″N 71°24′52″W / 41.80167°N 71.41444°W / 41.80167 ; -71.41444 ( St. Michael 's Roman Catholic Church , Convent , Rectory , and School ( Providence , Rhode Island ) )","Providence , Rhode Island",Late Gothic Revival
Church of the Precious Blood ( L'Eglise du Precieux Sang ),"1881 built , 1982 NRPH-listed","94 Carrington Ave. 42°0′6″N 71°30′33″W / 42.00167°N 71.50917°W / 42.00167 ; -71.50917 ( L'Eglise du Precieux Sang ( Woonsocket , Rhode Island ) )","Woonsocket , Rhode Island",Gothic Revival
St. Ann 's Church,1913 built 1982 NRHP-listed,"74 Cumberland St. 42°0′27″N 71°30′8″W / 42.00750°N 71.50222°W / 42.00750 ; -71.50222 ( St. Ann 's Church Complex ( Woonsocket , Rhode Island ) )","Woonsocket , Rhode Island",Renaissance
St. Charles Borromeo Church,"1871 built , 1983 NRPH-listed","N. Main and Daniels Sts . 42°0′29″N 71°30′52″W / 42.00806°N 71.51444°W / 42.00806 ; -71.51444 ( St. Charles Borromeo Church Complex ( Woonsocket , Rhode Island ) )","Woonsocket , Rhode Island",Gothic Revival
